2026-07-10T10:30:06.117001 Starting download for WSM
2026-07-10T19:12:30.417965 OK 1,381,107 bytes -> /workspace/WSM/investor-documents/sec-edgar/PRE 14A_20240403_rpt20240529_acc0001628280_24_014609.htm
2026-07-10T19:12:30.774580 OK 42,160 bytes -> /workspace/WSM/investor-documents/sec-edgar/8-K_20260622_rpt20260618_acc0000719955_26_000164.htm
2026-07-10T19:12:31.018964 OK 26,137 bytes -> /workspace/WSM/investor-documents/sec-edgar/8-K_20260521_rpt20260521_acc0000719955_26_000126.htm
2026-07-10T19:12:31.235574 OK 33,944 bytes -> /workspace/WSM/investor-documents/sec-edgar/8-K_20260318_rpt20260318_acc0000719955_26_000030.htm
2026-07-10T19:12:31.507753 OK 26,360 bytes -> /workspace/WSM/investor-documents/sec-edgar/8-K_20251119_rpt20251119_acc0000719955_25_000043.htm
2026-07-10T19:12:31.691158 OK 30,275 bytes -> /workspace/WSM/investor-documents/sec-edgar/8-K_20250827_rpt20250827_acc0000719955_25_000006.htm
2026-07-10T19:12:31.937691 OK 27,709 bytes -> /workspace/WSM/investor-documents/sec-edgar/8-K_20250627_rpt20250626_acc0001628280_25_033311.htm
2026-07-10T19:12:32.194201 OK 42,203 bytes -> /workspace/WSM/investor-documents/sec-edgar/8-K_20250613_rpt20250611_acc0001628280_25_031294.htm
2026-07-10T19:12:32.461370 OK 30,637 bytes -> /workspace/WSM/investor-documents/sec-edgar/8-K_20250522_rpt20250522_acc0001628280_25_027155.htm
2026-07-10T19:12:32.659268 OK 32,628 bytes -> /workspace/WSM/investor-documents/sec-edgar/8-K_20250319_rpt20250319_acc0001628280_25_013687.htm
2026-07-10T19:12:32.842853 OK 31,186 bytes -> /workspace/WSM/investor-documents/sec-edgar/8-K_20241120_rpt20241120_acc0001628280_24_048597.htm
2026-07-10T19:12:33.034679 OK 33,213 bytes -> /workspace/WSM/investor-documents/sec-edgar/8-K_20240927_rpt20240925_acc0001628280_24_041493.htm
2026-07-10T19:12:33.340605 OK 29,366 bytes -> /workspace/WSM/investor-documents/sec-edgar/8-K_20240822_rpt20240822_acc0001628280_24_038109.htm
2026-07-10T19:12:33.515155 OK 31,842 bytes -> /workspace/WSM/investor-documents/sec-edgar/8-K_20240801_rpt20240801_acc0001628280_24_034200.htm
2026-07-10T19:12:33.805261 OK 25,716 bytes -> /workspace/WSM/investor-documents/sec-edgar/8-K_20240613_rpt20240613_acc0001628280_24_028084.htm
2026-07-10T19:12:34.031327 OK 54,895 bytes -> /workspace/WSM/investor-documents/sec-edgar/8-K_20240531_rpt20240529_acc0001628280_24_026073.htm
2026-07-10T19:12:34.261497 OK 29,204 bytes -> /workspace/WSM/investor-documents/sec-edgar/8-K_20240522_rpt20240522_acc0001628280_24_024629.htm
2026-07-10T19:12:34.445454 OK 32,616 bytes -> /workspace/WSM/investor-documents/sec-edgar/8-K_20240313_rpt20240313_acc0001628280_24_010801.htm
2026-07-10T19:12:34.647728 OK 24,185 bytes -> /workspace/WSM/investor-documents/sec-edgar/8-K_20240112_rpt20240112_acc0001628280_24_001269.htm
2026-07-10T19:12:35.032566 OK 30,107 bytes -> /workspace/WSM/investor-documents/sec-edgar/8-K_20231116_rpt20231116_acc0001628280_23_039239.htm
2026-07-10T19:12:35.275309 OK 24,842 bytes -> /workspace/WSM/investor-documents/sec-edgar/8-K_20230823_rpt20230823_acc0001628280_23_030310.htm
2026-07-10T19:12:35.482852 OK 60,454 bytes -> /workspace/WSM/investor-documents/sec-edgar/8-K_20230605_rpt20230531_acc0001628280_23_020885.htm
2026-07-10T19:12:35.744819 OK 40,854 bytes -> /workspace/WSM/investor-documents/sec-edgar/8-K_20230523_rpt20230523_acc0001628280_23_019381.htm
2026-07-10T19:12:36.011209 OK 34,516 bytes -> /workspace/WSM/investor-documents/sec-edgar/8-K_20230316_rpt20230316_acc0001628280_23_008202.htm
2026-07-10T19:12:36.205858 OK 33,523 bytes -> /workspace/WSM/investor-documents/sec-edgar/8-K_20221117_rpt20221117_acc0001628280_22_030305.htm
2026-07-10T19:12:36.395720 OK 38,470 bytes -> /workspace/WSM/investor-documents/sec-edgar/8-K_20220914_rpt20220909_acc0001628280_22_024901.htm
2026-07-10T19:12:36.395978 SEC filings downloaded: 49
2026-07-10T19:12:41.165913 IR PDF URLs found: 109
2026-07-10T19:12:41.505009 OK 340,747 bytes -> /workspace/WSM/investor-documents/ir-wsm/3a7859a7-2522-4339-91d1-9bc3e78769e5.pdf
2026-07-10T19:12:41.899462 OK 813,965 bytes -> /workspace/WSM/investor-documents/ir-wsm/d896f775-87cd-414a-ac24-41965763bd82.pdf
2026-07-10T19:12:42.589653 OK 888,225 bytes -> /workspace/WSM/investor-documents/ir-wsm/2019-Annual-Report-FINAL-Bookmarked.pdf
2026-07-10T19:12:43.245151 OK 375,899 bytes -> /workspace/WSM/investor-documents/ir-wsm/ws-q32019-10q.pdf
2026-07-10T19:12:43.925888 OK 666,892 bytes -> /workspace/WSM/investor-documents/ir-wsm/c3495c7a-55d5-4129-8532-e88656ec86ae.pdf
2026-07-10T19:12:44.615198 OK 1,187,443 bytes -> /workspace/WSM/investor-documents/ir-wsm/FY2020-Annual-Report-bookmarked-FINAL.pdf
2026-07-10T19:12:45.211862 OK 310,247 bytes -> /workspace/WSM/investor-documents/ir-wsm/Q1FY20_10-Q.pdf
2026-07-10T19:12:45.899017 OK 863,025 bytes -> /workspace/WSM/investor-documents/ir-wsm/58bdbbdb-404f-4bb9-a65b-6c6fa7a308ad.pdf
2026-07-10T19:12:46.567950 OK 387,338 bytes -> /workspace/WSM/investor-documents/ir-wsm/807edfac-cdac-4ba5-918d-8d39a8ca35f9.pdf
2026-07-10T19:12:46.890349 OK 692,124 bytes -> /workspace/WSM/investor-documents/ir-wsm/69505a3a-0ee4-4f89-bdf5-43714d267067.pdf
2026-07-10T19:12:48.067723 OK 4,729,564 bytes -> /workspace/WSM/investor-documents/ir-wsm/Source.pdf
2026-07-10T19:12:48.365279 OK 309,521 bytes -> /workspace/WSM/investor-documents/ir-wsm/a3aa4dc4-81b0-401c-b092-65fc5dd29119.pdf
2026-07-10T19:12:48.683158 OK 408,410 bytes -> /workspace/WSM/investor-documents/ir-wsm/037ccdbb-ad38-48f7-988f-94a94850748a.pdf
2026-07-10T19:12:49.035547 OK 942,592 bytes -> /workspace/WSM/investor-documents/ir-wsm/ffdbe339-801a-462d-8305-fa91cbd15cbb.pdf
2026-07-10T19:12:49.379301 OK 993,987 bytes -> /workspace/WSM/investor-documents/ir-wsm/3b51fc1e-f210-44d6-a312-806a79f8af5e.pdf
2026-07-10T19:12:49.803819 OK 6,779,114 bytes -> /workspace/WSM/investor-documents/ir-wsm/22-32150-1_464835_client.pdf
2026-07-10T19:12:50.102163 OK 312,861 bytes -> /workspace/WSM/investor-documents/ir-wsm/Form-10-Q.pdf
2026-07-10T19:12:50.398221 OK 335,697 bytes -> /workspace/WSM/investor-documents/ir-wsm/12376cf4-5326-4392-98fe-ee1ed1d846b1.pdf
2026-07-10T19:12:51.058759 OK 383,940 bytes -> /workspace/WSM/investor-documents/ir-wsm/FY-2022-Q3-Earnings-Release.pdf
