2026-07-17T21:53:25.663807 Starting download for BMNR
2026-07-17T21:53:35.169301 OK 36,750 bytes -> /workspace/BMNR/investor-documents/sec-edgar/8-K_20260602_rpt20260602_acc0001493152_26_026880.htm
2026-07-17T21:53:35.349790 OK 37,205 bytes -> /workspace/BMNR/investor-documents/sec-edgar/8-K_20260601_rpt20260601_acc0001493152_26_026543.htm
2026-07-17T21:53:35.533656 OK 35,243 bytes -> /workspace/BMNR/investor-documents/sec-edgar/8-K_20260526_rpt20260526_acc0001493152_26_025174.htm
2026-07-17T21:53:35.715577 OK 36,249 bytes -> /workspace/BMNR/investor-documents/sec-edgar/8-K_20260518_rpt20260518_acc0001493152_26_024088.htm
2026-07-17T21:53:35.889587 OK 38,187 bytes -> /workspace/BMNR/investor-documents/sec-edgar/8-K_20260511_rpt20260511_acc0001493152_26_022150.htm
2026-07-17T21:53:36.088171 OK 34,222 bytes -> /workspace/BMNR/investor-documents/sec-edgar/8-K_20260504_rpt20260504_acc0001493152_26_021027.htm
2026-07-17T21:53:36.260830 OK 41,901 bytes -> /workspace/BMNR/investor-documents/sec-edgar/8-K_20260501_rpt20260427_acc0001493152_26_020901.htm
2026-07-17T21:53:36.434213 OK 36,036 bytes -> /workspace/BMNR/investor-documents/sec-edgar/8-K_20260427_rpt20260427_acc0001493152_26_019080.htm
2026-07-17T21:53:36.630192 OK 36,359 bytes -> /workspace/BMNR/investor-documents/sec-edgar/8-K_20260420_rpt20260420_acc0001493152_26_018015.htm
2026-07-17T21:53:36.807693 OK 36,428 bytes -> /workspace/BMNR/investor-documents/sec-edgar/8-K_20260415_rpt20260415_acc0001493152_26_016688.htm
2026-07-17T21:53:36.982324 OK 36,136 bytes -> /workspace/BMNR/investor-documents/sec-edgar/8-K_20260413_rpt20260413_acc0001493152_26_016296.htm
2026-07-17T21:53:37.156598 OK 36,437 bytes -> /workspace/BMNR/investor-documents/sec-edgar/8-K_20260409_rpt20260409_acc0001493152_26_015825.htm
2026-07-17T21:53:37.343060 OK 43,419 bytes -> /workspace/BMNR/investor-documents/sec-edgar/8-K_20260407_rpt20260402_acc0001493152_26_015446.htm
2026-07-17T21:53:37.524842 OK 37,758 bytes -> /workspace/BMNR/investor-documents/sec-edgar/8-K_20260406_rpt20260406_acc0001493152_26_015247.htm
2026-07-17T21:53:37.524982 SEC filings downloaded: 55
2026-07-17T21:53:37.524999 IR PDF URLs found: 0
2026-07-17T21:53:37.525306 Done BMNR. SEC=55 IR=0/0
