2026-05-28T21:01:19.185180 Starting download for SNOW
2026-05-28T21:01:19.185293 IR PDF URLs found: 0
2026-05-28T21:01:19.185424 Done SNOW. SEC=0 IR=0/0
2026-05-29T14:46:27.528799 Starting download for SNOW
2026-05-29T14:46:27.528851 IR PDF URLs found: 0
2026-05-29T14:46:27.528967 Done SNOW. SEC=0 IR=0/0
2026-05-29T13:26:08.495947 Starting download for SNOW
2026-05-29T13:26:08.495947 IR PDF URLs found: 0
2026-05-29T13:26:08.495947 Done SNOW. SEC=0 IR=0/0
2026-05-29T13:26:40.723291 Starting download for SNOW
2026-05-29T13:26:41.589106 OK 3,145,538 bytes -> C:\Users\werdn\Documents\Investing\Single Stock Investments\SNOW\investor-documents\sec-edgar\10-K_20260320_rpt20260131_acc0001640147_26_000008.htm
2026-05-29T13:26:42.132015 OK 3,024,588 bytes -> C:\Users\werdn\Documents\Investing\Single Stock Investments\SNOW\investor-documents\sec-edgar\10-K_20250321_rpt20250131_acc0001640147_25_000052.htm
2026-05-29T13:26:42.649485 OK 2,732,528 bytes -> C:\Users\werdn\Documents\Investing\Single Stock Investments\SNOW\investor-documents\sec-edgar\10-K_20240326_rpt20240131_acc0001640147_24_000101.htm
2026-05-29T13:26:43.151887 OK 2,621,498 bytes -> C:\Users\werdn\Documents\Investing\Single Stock Investments\SNOW\investor-documents\sec-edgar\10-K_20230329_rpt20230131_acc0001640147_23_000030.htm
2026-05-29T13:26:43.701240 OK 2,832,284 bytes -> C:\Users\werdn\Documents\Investing\Single Stock Investments\SNOW\investor-documents\sec-edgar\10-K_20220330_rpt20220131_acc0001640147_22_000023.htm
2026-05-29T13:26:44.201044 OK 2,621,311 bytes -> C:\Users\werdn\Documents\Investing\Single Stock Investments\SNOW\investor-documents\sec-edgar\10-Q_20251205_rpt20251031_acc0001640147_25_000211.htm
2026-05-29T13:26:44.732621 OK 2,463,899 bytes -> C:\Users\werdn\Documents\Investing\Single Stock Investments\SNOW\investor-documents\sec-edgar\10-Q_20250905_rpt20250731_acc0001640147_25_000187.htm
2026-05-29T13:26:45.309466 OK 1,992,390 bytes -> C:\Users\werdn\Documents\Investing\Single Stock Investments\SNOW\investor-documents\sec-edgar\10-Q_20250530_rpt20250430_acc0001640147_25_000110.htm
2026-05-29T13:26:45.885651 OK 2,712,481 bytes -> C:\Users\werdn\Documents\Investing\Single Stock Investments\SNOW\investor-documents\sec-edgar\10-Q_20241127_rpt20241031_acc0001640147_24_000250.htm
2026-05-29T13:26:46.419142 OK 2,423,271 bytes -> C:\Users\werdn\Documents\Investing\Single Stock Investments\SNOW\investor-documents\sec-edgar\10-Q_20240829_rpt20240731_acc0001640147_24_000207.htm
2026-05-29T13:26:46.893182 OK 1,879,175 bytes -> C:\Users\werdn\Documents\Investing\Single Stock Investments\SNOW\investor-documents\sec-edgar\10-Q_20240531_rpt20240430_acc0001640147_24_000135.htm
