insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
SIMURO FRANK,Chief Technology Officer,2026-02-19,2026-02-23,4421,49.07,216938.47,D,S,444300,False,False,True,0001925960-26-000004,https://www.sec.gov/Archives/edgar/data/1057352/000192596026000004/0001925960-26-000004.txt
SAINT FREDERICK G.,"President, Marketplaces",2026-02-19,2026-02-23,17583,0.0,0.0,D,S,273096,False,False,True,0001500076-26-000004,https://www.sec.gov/Archives/edgar/data/1057352/000150007626000004/0001500076-26-000004.txt
SAINT FREDERICK G.,"President, Marketplaces",2026-02-19,2026-02-23,2149,49.07,105451.43,D,S,270947,False,False,True,0001500076-26-000004,https://www.sec.gov/Archives/edgar/data/1057352/000150007626000004/0001500076-26-000004.txt
Ruggles Lisa,"Senior VP, Global Operations",2026-02-19,2026-02-23,17583,0.0,0.0,D,S,190042,False,False,True,0001717178-26-000004,https://www.sec.gov/Archives/edgar/data/1057352/000171717826000004/0001717178-26-000004.txt
Ruggles Lisa,"Senior VP, Global Operations",2026-02-19,2026-02-23,3219,49.07,157956.33,D,S,186823,False,False,True,0001717178-26-000004,https://www.sec.gov/Archives/edgar/data/1057352/000171717826000004/0001717178-26-000004.txt
FLORANCE ANDREW C,President and CEO,2026-02-19,2026-02-23,104983,0.0,0.0,D,S,1550367,False,True,True,0001066061-26-000004,https://www.sec.gov/Archives/edgar/data/1057352/000106606126000004/0001066061-26-000004.txt
FLORANCE ANDREW C,President and CEO,2026-02-19,2026-02-23,19221,49.07,943174.47,D,S,1531146,False,True,True,0001066061-26-000004,https://www.sec.gov/Archives/edgar/data/1057352/000106606126000004/0001066061-26-000004.txt
SIMURO FRANK,Chief Technology Officer,2026-02-15,2026-02-18,4151,44.99,186753.49,D,S,479448,False,False,True,0001925960-26-000002,https://www.sec.gov/Archives/edgar/data/1057352/000192596026000002/0001925960-26-000002.txt
SAINT FREDERICK G.,"President, Marketplaces",2026-02-15,2026-02-18,2424,44.99,109055.76,D,S,290679,False,False,True,0001500076-26-000002,https://www.sec.gov/Archives/edgar/data/1057352/000150007626000002/0001500076-26-000002.txt
Ruggles Lisa,"Senior VP, Global Operations",2026-02-15,2026-02-18,3576,44.99,160884.24,D,S,207625,False,False,True,0001717178-26-000002,https://www.sec.gov/Archives/edgar/data/1057352/000171717826000002/0001717178-26-000002.txt
FLORANCE ANDREW C,President and CEO,2026-02-15,2026-02-18,17482,44.99,786515.18,D,S,1655350,False,True,True,0001066061-26-000002,https://www.sec.gov/Archives/edgar/data/1057352/000106606126000002/0001066061-26-000002.txt
Hill John W,,2025-11-13,2025-11-17,2250,68.68,154530.0,D,S,18231,False,True,False,0001057352-25-000123,https://www.sec.gov/Archives/edgar/data/1057352/000105735225000123/0001057352-25-000123.txt
Cann Cynthia Cammett,Chief Accounting Officer,2025-11-13,2025-11-17,1841,68.79,126642.39,D,S,23211,False,False,True,0001057352-25-000122,https://www.sec.gov/Archives/edgar/data/1057352/000105735225000122/0001057352-25-000122.txt
Sams Louise S,,2025-09-09,2025-09-11,3291,0.0,0.0,A,P,19409,False,True,False,0001796961-25-000004,https://www.sec.gov/Archives/edgar/data/1057352/000179696125000004/0001796961-25-000004.txt
Musslewhite Robert W,,2025-09-09,2025-09-11,3121,0.0,0.0,A,P,18277,False,True,False,0001390194-25-000005,https://www.sec.gov/Archives/edgar/data/1057352/000139019425000005/0001390194-25-000005.txt
McCarthy Christine M,,2025-09-09,2025-09-11,2973,0.0,0.0,A,P,2973,False,True,False,0001057352-25-000107,https://www.sec.gov/Archives/edgar/data/1057352/000105735225000107/0001057352-25-000107.txt
Hill John W,,2025-09-09,2025-09-11,3177,0.0,0.0,A,P,20481,False,True,False,0001351689-25-000005,https://www.sec.gov/Archives/edgar/data/1057352/000135168925000005/0001351689-25-000005.txt
Glaser Rachel C,,2025-09-09,2025-09-11,3143,0.0,0.0,A,P,3143,False,True,False,0001497570-25-000007,https://www.sec.gov/Archives/edgar/data/1057352/000149757025000007/0001497570-25-000007.txt
Brunner Angelique G.,,2025-09-09,2025-09-11,3143,0.0,0.0,A,P,10166,False,True,False,0001742356-25-000005,https://www.sec.gov/Archives/edgar/data/1057352/000174235625000005/0001742356-25-000005.txt
BERISFORD JOHN L,,2025-09-09,2025-09-11,2973,0.0,0.0,A,P,2973,False,True,False,0001449719-25-000005,https://www.sec.gov/Archives/edgar/data/1057352/000144971925000005/0001449719-25-000005.txt
SAINT FREDERICK G.,"President, Marketplaces",2025-08-28,2025-09-02,25000,90.33,2258250.0,D,S,293103,False,False,True,0001057352-25-000104,https://www.sec.gov/Archives/edgar/data/1057352/000105735225000104/0001057352-25-000104.txt
SAINT FREDERICK G.,"President, Marketplaces",2025-08-01,2025-08-05,1436,95.19,136692.84,D,S,318103,False,False,True,0001500076-25-000006,https://www.sec.gov/Archives/edgar/data/1057352/000150007625000006/0001500076-25-000006.txt
Cann Cynthia Cammett,Chief Accounting Officer,2025-08-01,2025-08-05,719,95.19,68441.61,D,S,25052,False,False,True,0001472762-25-000006,https://www.sec.gov/Archives/edgar/data/1057352/000147276225000006/0001472762-25-000006.txt
SAINT FREDERICK G.,"President, Marketplaces",2025-07-28,2025-07-29,25000,93.23,2330750.0,D,S,319539,False,False,True,0001500076-25-000004,https://www.sec.gov/Archives/edgar/data/1057352/000150007625000004/0001500076-25-000004.txt
Cann Cynthia Cammett,Chief Accounting Officer,2025-07-28,2025-07-29,2033,92.85,188764.05,D,S,25771,False,False,True,0001472762-25-000004,https://www.sec.gov/Archives/edgar/data/1057352/000147276225000004/0001472762-25-000004.txt
LOWN CHRISTIAN M.,Chief Financial Officer,2025-07-01,2025-07-02,4666,80.4,375146.4,D,S,130157,False,False,True,0001057352-25-000086,https://www.sec.gov/Archives/edgar/data/1057352/000105735225000086/0001057352-25-000086.txt
