insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Egawa Atsushi,Co-CEO Asia Pacific,2026-04-30,2026-04-30,544,174.5256,94941.93,D,S,17130,True,False,True,0002030841-26-000004,https://www.sec.gov/Archives/edgar/data/1467373/000203084126000004/0002030841-26-000004.txt
Egawa Atsushi,Co-CEO Asia Pacific,2026-04-30,2026-04-30,1306,176.9327,231074.11,D,S,15824,True,False,True,0002030841-26-000004,https://www.sec.gov/Archives/edgar/data/1467373/000203084126000004/0002030841-26-000004.txt
Egawa Atsushi,Co-CEO Asia Pacific,2026-04-30,2026-04-30,2761,177.624,490419.86,D,S,13063,True,False,True,0002030841-26-000004,https://www.sec.gov/Archives/edgar/data/1467373/000203084126000004/0002030841-26-000004.txt
Egawa Atsushi,Co-CEO Asia Pacific,2026-04-30,2026-04-30,261,178.576,46608.34,D,S,12802,True,False,True,0002030841-26-000004,https://www.sec.gov/Archives/edgar/data/1467373/000203084126000004/0002030841-26-000004.txt
Walsh John F,CEO-The Americas,2026-04-05,2026-04-06,139,198.31,27565.09,A,A,25389,False,False,True,0001792845-26-000010,https://www.sec.gov/Archives/edgar/data/1467373/000179284526000010/0001792845-26-000010.txt
Unruch Joel,General Counsel/Corp Secretary,2026-04-05,2026-04-06,139,198.31,27565.09,A,A,27633,False,False,True,0001783059-26-000009,https://www.sec.gov/Archives/edgar/data/1467373/000178305926000009/0001783059-26-000009.txt
Sweet Julie Spellman,Chair and CEO,2026-04-05,2026-04-06,195,198.31,38670.45,A,A,15751,False,True,True,0001487630-26-000011,https://www.sec.gov/Archives/edgar/data/1467373/000148763026000011/0001487630-26-000011.txt
Sharma Manish,Chief Strategy & Services Ofcr,2026-04-05,2026-04-06,93,198.31,18442.83,A,A,5322,False,False,True,0001911109-26-000010,https://www.sec.gov/Archives/edgar/data/1467373/000191110926000010/0001911109-26-000010.txt
Park Angie Y,Chief Financial Officer,2026-04-05,2026-04-06,139,198.31,27565.09,A,A,12786,False,False,True,0002028611-26-000008,https://www.sec.gov/Archives/edgar/data/1467373/000202861126000008/0002028611-26-000008.txt
Hogan Catherine Kiernan,Chief Operating Officer,2026-04-05,2026-04-06,108,198.31,21417.48,A,A,13027,False,False,True,0002080406-26-000008,https://www.sec.gov/Archives/edgar/data/1467373/000208040626000008/0002080406-26-000008.txt
