insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Brown Shelly,"EVP, Chief Strategy Officer",2026-04-08,2026-04-09,16434,42.08,691542.72,D,S,325047,True,False,True,0002080506-26-000013,https://www.sec.gov/Archives/edgar/data/1438472/000208050626000013/0002080506-26-000013.txt
Deitzel Edward,"EVP, CRO, CCO MIAX Exchanges",2026-04-07,2026-04-09,762,12.0,9144.0,A,P,116983,True,False,True,0002080671-26-000006,https://www.sec.gov/Archives/edgar/data/1438472/000208067126000006/0002080671-26-000006.txt
Deitzel Edward,"EVP, CRO, CCO MIAX Exchanges",2026-04-07,2026-04-09,762,42.0,32004.0,D,S,116221,True,False,True,0002080671-26-000006,https://www.sec.gov/Archives/edgar/data/1438472/000208067126000006/0002080671-26-000006.txt
Deitzel Edward,"EVP, CRO, CCO MIAX Exchanges",2026-04-07,2026-04-09,4001,12.0,48012.0,A,P,120222,True,False,True,0002080671-26-000006,https://www.sec.gov/Archives/edgar/data/1438472/000208067126000006/0002080671-26-000006.txt
Deitzel Edward,"EVP, CRO, CCO MIAX Exchanges",2026-04-07,2026-04-09,4001,42.0,168042.0,D,S,116221,True,False,True,0002080671-26-000006,https://www.sec.gov/Archives/edgar/data/1438472/000208067126000006/0002080671-26-000006.txt
Brown Shelly,"EVP, Chief Strategy Officer",2026-04-07,2026-04-09,900,12.0,10800.0,A,P,325947,True,False,True,0002080506-26-000012,https://www.sec.gov/Archives/edgar/data/1438472/000208050626000012/0002080506-26-000012.txt
Brown Shelly,"EVP, Chief Strategy Officer",2026-04-07,2026-04-09,900,42.0,37800.0,D,S,325047,True,False,True,0002080506-26-000012,https://www.sec.gov/Archives/edgar/data/1438472/000208050626000012/0002080506-26-000012.txt
Brown Shelly,"EVP, Chief Strategy Officer",2026-04-07,2026-04-08,900,42.0,37800.0,D,S,324147,True,False,True,0002080506-26-000009,https://www.sec.gov/Archives/edgar/data/1438472/000208050626000009/0002080506-26-000009.txt
Brown Shelly,"EVP, Chief Strategy Officer",2026-04-06,2026-04-09,2357,41.33,97414.81,D,S,325047,True,False,True,0002080506-26-000012,https://www.sec.gov/Archives/edgar/data/1438472/000208050626000012/0002080506-26-000012.txt
Brown Shelly,"EVP, Chief Strategy Officer",2026-04-06,2026-04-08,2357,41.33,97414.81,D,S,325047,True,False,True,0002080506-26-000009,https://www.sec.gov/Archives/edgar/data/1438472/000208050626000009/0002080506-26-000009.txt
Teekell Judson Gray,,2026-04-02,2026-04-03,2700,40.0,108000.0,D,S,59338,True,True,False,0001628280-26-023478,https://www.sec.gov/Archives/edgar/data/1438472/000162828026023478/0001628280-26-023478.txt
Smollen John,"EVP, New Product Development",2026-03-30,2026-04-01,362,37.5,13575.0,D,S,170757,False,False,True,0002080703-26-000002,https://www.sec.gov/Archives/edgar/data/1438472/000208070326000002/0002080703-26-000002.txt
Gallagher Thomas P.,Chairman & CEO,2026-03-30,2026-04-01,20875,37.5,782812.5,D,S,1827399,False,True,True,0002080477-26-000004,https://www.sec.gov/Archives/edgar/data/1438472/000208047726000004/0002080477-26-000004.txt
Emmons Lance,EVP and CFO,2026-03-30,2026-04-01,8350,37.5,313125.0,D,S,119262,False,False,True,0002080679-26-000002,https://www.sec.gov/Archives/edgar/data/1438472/000208067926000002/0002080679-26-000002.txt
Deitzel Edward,"EVP, CRO, CCO MIAX Exchanges",2026-03-30,2026-04-01,707,37.5,26512.5,D,S,116221,False,False,True,0002080671-26-000004,https://www.sec.gov/Archives/edgar/data/1438472/000208067126000004/0002080671-26-000004.txt
Comly Barbara J.,"EVP, GC & Corporate Secretary",2026-03-30,2026-04-01,1448,37.5,54300.0,D,S,843844,False,False,True,0002080878-26-000004,https://www.sec.gov/Archives/edgar/data/1438472/000208087826000004/0002080878-26-000004.txt
Brown Shelly,"EVP, Chief Strategy Officer",2026-03-30,2026-04-01,1809,37.5,67837.5,D,S,297388,False,False,True,0002080506-26-000005,https://www.sec.gov/Archives/edgar/data/1438472/000208050626000005/0002080506-26-000005.txt
Brown Shelly,"EVP, Chief Strategy Officer",2026-03-30,2026-04-01,8333,12.0,99996.0,A,P,305721,False,False,True,0002080506-26-000005,https://www.sec.gov/Archives/edgar/data/1438472/000208050626000005/0002080506-26-000005.txt
Brown Shelly,"EVP, Chief Strategy Officer",2026-03-30,2026-04-01,6570,15.22,99995.4,A,P,312291,False,False,True,0002080506-26-000005,https://www.sec.gov/Archives/edgar/data/1438472/000208050626000005/0002080506-26-000005.txt
Brown Shelly,"EVP, Chief Strategy Officer",2026-03-30,2026-04-01,6195,16.14,99987.3,A,P,318486,False,False,True,0002080506-26-000005,https://www.sec.gov/Archives/edgar/data/1438472/000208050626000005/0002080506-26-000005.txt
Brown Shelly,"EVP, Chief Strategy Officer",2026-03-30,2026-04-01,3878,25.78,99974.84,A,P,322364,False,False,True,0002080506-26-000005,https://www.sec.gov/Archives/edgar/data/1438472/000208050626000005/0002080506-26-000005.txt
Brown Shelly,"EVP, Chief Strategy Officer",2026-03-30,2026-04-01,5040,19.84,99993.6,A,P,327404,False,False,True,0002080506-26-000005,https://www.sec.gov/Archives/edgar/data/1438472/000208050626000005/0002080506-26-000005.txt
Teekell Judson Gray,,2026-03-25,2026-03-26,300,40.0,12000.0,D,S,62038,False,True,False,0001628280-26-021445,https://www.sec.gov/Archives/edgar/data/1438472/000162828026021445/0001628280-26-021445.txt
Brown Shelly,"EVP, Chief Strategy Officer",2026-03-23,2026-03-24,25932,39.33,1019905.56,D,S,299197,True,False,True,0001628280-26-020862,https://www.sec.gov/Archives/edgar/data/1438472/000162828026020862/0001628280-26-020862.txt
Eckert Kurt M.,,2026-03-19,2026-03-20,12917,12.0,155004.0,A,P,180292,True,True,False,0001628280-26-020218,https://www.sec.gov/Archives/edgar/data/1438472/000162828026020218/0001628280-26-020218.txt
Eckert Kurt M.,,2026-03-19,2026-03-20,37917,39.0,1478763.0,D,S,142375,True,True,False,0001628280-26-020218,https://www.sec.gov/Archives/edgar/data/1438472/000162828026020218/0001628280-26-020218.txt
Schafer Douglas M. JR,EVP and CIO,2026-03-17,2026-03-18,48000,12.0,576000.0,A,P,444681,True,False,True,0001628280-26-019437,https://www.sec.gov/Archives/edgar/data/1438472/000162828026019437/0001628280-26-019437.txt
Schafer Douglas M. JR,EVP and CIO,2026-03-17,2026-03-18,48000,39.74,1907520.0,D,S,396681,True,False,True,0001628280-26-019437,https://www.sec.gov/Archives/edgar/data/1438472/000162828026019437/0001628280-26-019437.txt
Comly Barbara J.,"EVP, GC & Corporate Secretary",2026-03-09,2026-03-10,8333,12.0,99996.0,A,P,820293,False,False,True,0002080878-26-000002,https://www.sec.gov/Archives/edgar/data/1438472/000208087826000002/0002080878-26-000002.txt
Comly Barbara J.,"EVP, GC & Corporate Secretary",2026-03-09,2026-03-10,8333,12.0,99996.0,A,P,828626,False,False,True,0002080878-26-000002,https://www.sec.gov/Archives/edgar/data/1438472/000208087826000002/0002080878-26-000002.txt
Comly Barbara J.,"EVP, GC & Corporate Secretary",2026-03-09,2026-03-10,16666,12.0,199992.0,A,P,845292,False,False,True,0002080878-26-000002,https://www.sec.gov/Archives/edgar/data/1438472/000208087826000002/0002080878-26-000002.txt
STAHL MURRAY,,2026-03-05,2026-03-06,7200,43.08,310176.0,A,P,4633842,False,True,False,0001437749-26-007252,https://www.sec.gov/Archives/edgar/data/1438472/000143774926007252/0001437749-26-007252.txt
STAHL MURRAY,,2026-03-04,2026-03-06,7200,43.38,312336.0,A,P,4626642,False,True,False,0001437749-26-007251,https://www.sec.gov/Archives/edgar/data/1438472/000143774926007251/0001437749-26-007251.txt
STAHL MURRAY,,2026-03-04,2026-03-05,7200,43.38,312336.0,A,P,4696666,False,True,False,0001437749-26-007046,https://www.sec.gov/Archives/edgar/data/1438472/000143774926007046/0001437749-26-007046.txt
STAHL MURRAY,,2026-03-02,2026-03-06,21290,15.0,319350.0,A,P,4581654,False,True,False,0001437749-26-007203,https://www.sec.gov/Archives/edgar/data/1438472/000143774926007203/0001437749-26-007203.txt
STAHL MURRAY,,2026-03-02,2026-03-06,91366,20.5,1873003.0,A,P,4673020,False,True,False,0001437749-26-007203,https://www.sec.gov/Archives/edgar/data/1438472/000143774926007203/0001437749-26-007203.txt
STAHL MURRAY,,2026-03-02,2026-03-06,53578,40.92,2192411.76,D,S,4619442,False,True,False,0001437749-26-007203,https://www.sec.gov/Archives/edgar/data/1438472/000143774926007203/0001437749-26-007203.txt
STAHL MURRAY,,2026-03-02,2026-03-04,21290,15.0,319350.0,A,P,4581654,False,True,False,0001437749-26-006880,https://www.sec.gov/Archives/edgar/data/1438472/000143774926006880/0001437749-26-006880.txt
STAHL MURRAY,,2026-03-02,2026-03-04,91366,20.5,1873003.0,A,P,4673020,False,True,False,0001437749-26-006880,https://www.sec.gov/Archives/edgar/data/1438472/000143774926006880/0001437749-26-006880.txt
STAHL MURRAY,,2026-03-02,2026-03-04,137500,20.0,2750000.0,A,P,4810520,False,True,False,0001437749-26-006880,https://www.sec.gov/Archives/edgar/data/1438472/000143774926006880/0001437749-26-006880.txt
STAHL MURRAY,,2026-03-02,2026-03-04,121054,40.92,4953529.68,D,S,4689466,False,True,False,0001437749-26-006880,https://www.sec.gov/Archives/edgar/data/1438472/000143774926006880/0001437749-26-006880.txt
Schafer Douglas M. JR,EVP and CIO,2026-02-18,2026-02-20,32565,40.89,1331582.85,D,S,396681,False,False,True,0002079445-26-000005,https://www.sec.gov/Archives/edgar/data/1438472/000207944526000005/0002079445-26-000005.txt
Deitzel Edward,"EVP, CRO, CCO MIAX Exchanges",2026-02-18,2026-02-20,6035,40.89,246771.15,D,S,116928,False,False,True,0002080671-26-000002,https://www.sec.gov/Archives/edgar/data/1438472/000208067126000002/0002080671-26-000002.txt
Brown Shelly,"EVP, Chief Strategy Officer",2026-02-18,2026-02-20,19902,40.89,813792.78,D,S,325129,False,False,True,0002080506-26-000002,https://www.sec.gov/Archives/edgar/data/1438472/000208050626000002/0002080506-26-000002.txt
Schafer Douglas M. JR,EVP and CIO,2026-02-10,2026-02-12,108550,41.33,4486371.5,D,S,429246,False,False,True,0002079445-26-000003,https://www.sec.gov/Archives/edgar/data/1438472/000207944526000003/0002079445-26-000003.txt
Gallagher Thomas P.,Chairman & CEO,2026-02-10,2026-02-12,50100,41.33,2070633.0,D,S,535863,False,True,True,0002080477-26-000002,https://www.sec.gov/Archives/edgar/data/1438472/000208047726000002/0002080477-26-000002.txt
Gallagher Thomas P.,Chairman & CEO,2025-12-23,2025-12-29,2000,0.0,0.0,D,S,585963,False,True,True,0002080477-25-000012,https://www.sec.gov/Archives/edgar/data/1438472/000208047725000012/0002080477-25-000012.txt
Emmons Lance,EVP and CFO,2025-12-16,2025-12-17,22221,13.5,299983.5,A,P,116377,False,False,True,0002080679-25-000002,https://www.sec.gov/Archives/edgar/data/1438472/000208067925000002/0002080679-25-000002.txt
Emmons Lance,EVP and CFO,2025-12-16,2025-12-17,6195,16.14,99987.3,A,P,122572,False,False,True,0002080679-25-000002,https://www.sec.gov/Archives/edgar/data/1438472/000208067925000002/0002080679-25-000002.txt
Emmons Lance,EVP and CFO,2025-12-16,2025-12-17,5040,19.84,99993.6,A,P,127612,False,False,True,0002080679-25-000002,https://www.sec.gov/Archives/edgar/data/1438472/000208067925000002/0002080679-25-000002.txt
Brown Shelly,"EVP, Chief Strategy Officer",2025-12-16,2025-12-17,16666,12.0,199992.0,A,P,328365,False,False,True,0002080506-25-000007,https://www.sec.gov/Archives/edgar/data/1438472/000208050625000007/0002080506-25-000007.txt
Brown Shelly,"EVP, Chief Strategy Officer",2025-12-16,2025-12-17,8333,12.0,99996.0,A,P,336698,False,False,True,0002080506-25-000007,https://www.sec.gov/Archives/edgar/data/1438472/000208050625000007/0002080506-25-000007.txt
Brown Shelly,"EVP, Chief Strategy Officer",2025-12-16,2025-12-17,8333,12.0,99996.0,A,P,345031,False,False,True,0002080506-25-000007,https://www.sec.gov/Archives/edgar/data/1438472/000208050625000007/0002080506-25-000007.txt
STAHL MURRAY,,2025-12-12,2025-12-15,2439,41.0,99999.0,A,P,4560364,False,True,False,0001437749-25-037835,https://www.sec.gov/Archives/edgar/data/1438472/000143774925037835/0001437749-25-037835.txt
STAHL MURRAY,,2025-10-03,2025-10-06,2,41.97,83.94,A,P,4557925,False,True,False,0001437749-25-030534,https://www.sec.gov/Archives/edgar/data/1438472/000143774925030534/0001437749-25-030534.txt
STAHL MURRAY,,2025-09-26,2025-09-30,4,41.76,167.04,A,P,4557923,False,True,False,0001437749-25-030101,https://www.sec.gov/Archives/edgar/data/1438472/000143774925030101/0001437749-25-030101.txt
Smollen John,EVP Traded Products & Relation,2025-09-11,2025-09-15,125001,12.0,1500012.0,A,P,193174,False,False,True,0002080703-25-000002,https://www.sec.gov/Archives/edgar/data/1438472/000208070325000002/0002080703-25-000002.txt
Smollen John,EVP Traded Products & Relation,2025-09-11,2025-09-15,52054,37.39,1946299.06,D,S,141120,False,False,True,0002080703-25-000002,https://www.sec.gov/Archives/edgar/data/1438472/000208070325000002/0002080703-25-000002.txt
Smollen John,EVP Traded Products & Relation,2025-09-11,2025-09-15,24999,12.0,299988.0,A,P,166119,False,False,True,0002080703-25-000002,https://www.sec.gov/Archives/edgar/data/1438472/000208070325000002/0002080703-25-000002.txt
Deitzel Edward,"EVP, CRO, CCO MIAX Exchanges",2025-09-11,2025-09-11,16666,12.0,199992.0,A,P,122963,False,False,True,0002080671-25-000003,https://www.sec.gov/Archives/edgar/data/1438472/000208067125000003/0002080671-25-000003.txt
Brown Shelly,"EVP, Strat. Planning & BD",2025-09-10,2025-09-11,16283,36.81,599377.23,D,S,311699,False,False,True,0002080506-25-000005,https://www.sec.gov/Archives/edgar/data/1438472/000208050625000005/0002080506-25-000005.txt
Jayabalan Harish,"EVP, CISO and CRO",2025-09-09,2025-09-11,21999,12.0,263988.0,A,P,72384,False,False,True,0002080538-25-000004,https://www.sec.gov/Archives/edgar/data/1438472/000208053825000004/0002080538-25-000004.txt
Jayabalan Harish,"EVP, CISO and CRO",2025-09-09,2025-09-11,3001,12.0,36012.0,A,P,75385,False,False,True,0002080538-25-000004,https://www.sec.gov/Archives/edgar/data/1438472/000208053825000004/0002080538-25-000004.txt
Jayabalan Harish,"EVP, CISO and CRO",2025-09-09,2025-09-11,1980,37.3,73854.0,D,S,73405,False,False,True,0002080538-25-000004,https://www.sec.gov/Archives/edgar/data/1438472/000208053825000004/0002080538-25-000004.txt
