insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Cushman Elizabeth C.,"EVP, GC AND SECRETARY",2026-02-27,2026-03-03,1421,116.26,165205.46,D,F,38836,False,False,False,0002075371-26-000007,https://www.sec.gov/Archives/edgar/data/1800/000207537126000007/0002075371-26-000007.txt
Boudreau Philip P,EVP AND CFO,2026-02-27,2026-03-03,7441,116.26,865090.66,D,F,71172,False,False,False,0001805099-26-000004,https://www.sec.gov/Archives/edgar/data/1800/000180509926000004/0001805099-26-000004.txt
Shroff Eric,Senior Vice President,2026-02-24,2026-02-26,10873,0.0,0.0,A,A,41257,False,False,False,0002058129-26-000002,https://www.sec.gov/Archives/edgar/data/1800/000205812926000002/0002058129-26-000002.txt
Scoggins Christopher J,EXECUTIVE VICE PRESIDENT,2026-02-24,2026-02-26,18502,0.0,0.0,A,A,82123,False,False,False,0001772286-26-000002,https://www.sec.gov/Archives/edgar/data/1800/000177228626000002/0001772286-26-000002.txt
Salvadori Daniel Gesua Sive,EVP AND GROUP PRESIDENT,2026-02-24,2026-02-26,21644,0.0,0.0,A,A,153877,False,False,False,0001620564-26-000002,https://www.sec.gov/Archives/edgar/data/1800/000162056426000002/0001620564-26-000002.txt
Morrone Louis H.,EXECUTIVE VICE PRESIDENT,2026-02-24,2026-02-26,15418,0.0,0.0,A,A,82027,False,False,False,0001867666-26-000002,https://www.sec.gov/Archives/edgar/data/1800/000186766626000002/0001867666-26-000002.txt
Moreland Mary K,EXECUTIVE VICE PRESIDENT,2026-02-24,2026-02-26,13951,0.0,0.0,A,A,109534,False,False,False,0001783147-26-000002,https://www.sec.gov/Archives/edgar/data/1800/000178314726000002/0001783147-26-000002.txt
MCCOY JOHN A. JR.,VICE PRESIDENT AND CONTROLLER,2026-02-24,2026-02-26,5373,0.0,0.0,A,A,26355,False,False,False,0001644207-26-000002,https://www.sec.gov/Archives/edgar/data/1800/000164420726000002/0001644207-26-000002.txt
Ford Robert B,CHAIRMAN AND CEO,2026-02-24,2026-02-26,83464,0.0,0.0,A,A,336769,False,False,False,0001612571-26-000004,https://www.sec.gov/Archives/edgar/data/1800/000161257126000004/0001612571-26-000004.txt
Earnhardt Lisa D,EVP AND GROUP PRESIDENT,2026-02-24,2026-02-26,27056,0.0,0.0,A,A,98984,False,False,False,0001530893-26-000002,https://www.sec.gov/Archives/edgar/data/1800/000153089326000002/0001530893-26-000002.txt
Cushman Elizabeth C.,"EVP, GC AND SECRETARY",2026-02-24,2026-02-26,15031,0.0,0.0,A,A,40257,False,False,False,0002075371-26-000002,https://www.sec.gov/Archives/edgar/data/1800/000207537126000002/0002075371-26-000002.txt
Boudreau Philip P,EVP AND CFO,2026-02-24,2026-02-26,27997,0.0,0.0,A,A,78613,False,False,False,0001805099-26-000002,https://www.sec.gov/Archives/edgar/data/1800/000180509926000002/0001805099-26-000002.txt
STARKS DANIEL J,,2026-02-04,2026-02-06,4967,109.1388,542092.42,A,P,6733784,False,False,False,0000902132-26-000003,https://www.sec.gov/Archives/edgar/data/1800/000090213226000003/0000902132-26-000003.txt
STARKS DANIEL J,,2026-02-04,2026-02-06,5033,108.3328,545238.98,A,P,6738817,False,False,False,0000902132-26-000003,https://www.sec.gov/Archives/edgar/data/1800/000090213226000003/0000902132-26-000003.txt
Ford Robert B,CHAIRMAN AND CEO,2026-01-23,2026-01-26,18800,107.1259,2013966.92,A,P,216203,False,False,False,0001612571-26-000002,https://www.sec.gov/Archives/edgar/data/1800/000161257126000002/0001612571-26-000002.txt
Salvadori Daniel Gesua Sive,EVP AND GROUP PRESIDENT,2025-12-11,2025-12-12,1536,123.28,189358.08,D,G,132233,False,False,False,0001620564-25-000009,https://www.sec.gov/Archives/edgar/data/1800/000162056425000009/0001620564-25-000009.txt
Shroff Eric,Senior Vice President,2025-11-25,2025-11-25,1586,128.0218,203042.57,D,S,30384,False,False,False,0002058129-25-000009,https://www.sec.gov/Archives/edgar/data/1800/000205812925000009/0002058129-25-000009.txt
MCCOY JOHN A. JR.,VICE PRESIDENT AND CONTROLLER,2025-09-01,2025-09-03,79,132.66,10480.14,D,F,20982,False,False,False,0001415889-25-023588,https://www.sec.gov/Archives/edgar/data/1800/000141588925023588/0001415889-25-023588.txt
Boudreau Philip P,EVP AND CFO,2025-09-01,2025-09-03,387,132.66,51339.42,D,F,50616,False,False,False,0001415889-25-023586,https://www.sec.gov/Archives/edgar/data/1800/000141588925023586/0001415889-25-023586.txt
Boudreau Philip P,EVP AND CFO,2025-08-08,2025-08-11,5550,134.551,746758.05,D,S,51003,False,False,False,0001415889-25-021451,https://www.sec.gov/Archives/edgar/data/1800/000141588925021451/0001415889-25-021451.txt
