insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
Gage Brodie,SVP Global Products & Supply,2026-03-20,2026-03-24,204,383.89,78313.56,D,F,52839,False,False,True,0001123292-26-000498,https://www.sec.gov/Archives/edgar/data/936395/000112329226000498/0001123292-26-000498.txt
Gage Brodie,SVP Global Products & Supply,2026-03-20,2026-03-24,442,383.89,169679.38,D,F,52397,False,False,True,0001123292-26-000498,https://www.sec.gov/Archives/edgar/data/936395/000112329226000498/0001123292-26-000498.txt
Gage Brodie,SVP Global Products & Supply,2026-03-20,2026-03-24,669,383.89,256822.41,D,F,51728,False,False,True,0001123292-26-000498,https://www.sec.gov/Archives/edgar/data/936395/000112329226000498/0001123292-26-000498.txt
Gage Brodie,SVP Global Products & Supply,2026-03-20,2026-03-24,387,383.89,148565.43,D,F,51341,False,False,True,0001123292-26-000498,https://www.sec.gov/Archives/edgar/data/936395/000112329226000498/0001123292-26-000498.txt
DiPerna Dino,SVP Global R&D,2026-03-20,2026-03-24,204,383.89,78313.56,D,F,47137,False,False,True,0001123292-26-000497,https://www.sec.gov/Archives/edgar/data/936395/000112329226000497/0001123292-26-000497.txt
DiPerna Dino,SVP Global R&D,2026-03-20,2026-03-24,444,383.89,170447.16,D,F,46693,False,False,True,0001123292-26-000497,https://www.sec.gov/Archives/edgar/data/936395/000112329226000497/0001123292-26-000497.txt
DiPerna Dino,SVP Global R&D,2026-03-20,2026-03-24,730,383.89,280239.7,D,F,45963,False,False,True,0001123292-26-000497,https://www.sec.gov/Archives/edgar/data/936395/000112329226000497/0001123292-26-000497.txt
DiPerna Dino,SVP Global R&D,2026-03-20,2026-03-24,427,383.89,163921.03,D,F,45536,False,False,True,0001123292-26-000497,https://www.sec.gov/Archives/edgar/data/936395/000112329226000497/0001123292-26-000497.txt
DiPerna Dino,SVP Global R&D,2026-03-20,2026-03-24,247,383.89,94820.83,D,F,45289,False,False,True,0001123292-26-000497,https://www.sec.gov/Archives/edgar/data/936395/000112329226000497/0001123292-26-000497.txt
Cumello Joseph,"SVP, General Mgr. Blue Planet",2026-03-20,2026-03-24,179,383.89,68716.31,D,F,49296,False,False,True,0001123292-26-000496,https://www.sec.gov/Archives/edgar/data/936395/000112329226000496/0001123292-26-000496.txt
