insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
NELMS DAVID W,,2026-03-05,2026-03-09,1609,0.0,0.0,A,A,32615,False,True,False,0001183830-26-000004,https://www.sec.gov/Archives/edgar/data/1402057/000118383026000004/0001183830-26-000004.txt
MIRALLES ALBERT JOSEPH JR,See Remarks,2026-03-05,2026-03-09,13700,0.0,0.0,A,A,49130,False,False,True,0001605507-26-000004,https://www.sec.gov/Archives/edgar/data/1402057/000160550726000004/0001605507-26-000004.txt
MEHROTRA SANJAY,,2026-03-05,2026-03-09,1609,0.0,0.0,A,A,6372,False,True,False,0001242654-26-000002,https://www.sec.gov/Archives/edgar/data/1402057/000124265426000002/0001242654-26-000002.txt
LOCY PETER R,See Remarks,2026-03-05,2026-03-09,660,0.0,0.0,A,A,4053,False,False,True,0001927457-26-000003,https://www.sec.gov/Archives/edgar/data/1402057/000192745726000003/0001927457-26-000003.txt
LEAHY CHRISTINE A,See Remarks,2026-03-05,2026-03-09,40029,0.0,0.0,A,A,193014,False,True,True,0001215336-26-000004,https://www.sec.gov/Archives/edgar/data/1402057/000121533626000004/0001215336-26-000004.txt
Kumar Mukesh,See Remarks,2026-03-05,2026-03-09,11024,0.0,0.0,A,A,21458,False,False,True,0002081482-26-000002,https://www.sec.gov/Archives/edgar/data/1402057/000208148226000002/0002081482-26-000002.txt
KULEVICH FREDERICK J.,See Remarks,2026-03-05,2026-03-09,8263,0.0,0.0,A,A,45662,False,False,True,0001719308-26-000004,https://www.sec.gov/Archives/edgar/data/1402057/000171930826000004/0001719308-26-000004.txt
Jones Marc Ellis,,2026-03-05,2026-03-09,1609,0.0,0.0,A,A,4467,False,True,False,0001762291-26-000002,https://www.sec.gov/Archives/edgar/data/1402057/000176229126000002/0001762291-26-000002.txt
Grier Kelly J,,2026-03-05,2026-03-09,1609,0.0,0.0,A,A,4039,False,True,False,0001945869-26-000002,https://www.sec.gov/Archives/edgar/data/1402057/000194586926000002/0001945869-26-000002.txt
Foxx Anthony R,,2026-03-05,2026-03-09,1609,0.0,0.0,A,A,6660,False,True,False,0001831914-26-000002,https://www.sec.gov/Archives/edgar/data/1402057/000183191426000002/0001831914-26-000002.txt
CONNELLY ELIZABETH H.,See Remarks,2026-03-05,2026-03-09,11880,0.0,0.0,A,A,35386,False,False,True,0001761744-26-000004,https://www.sec.gov/Archives/edgar/data/1402057/000176174426000004/0001761744-26-000004.txt
CLARIZIO LYNDA M,,2026-03-05,2026-03-09,1609,0.0,0.0,A,A,15718,False,True,False,0001660318-26-000002,https://www.sec.gov/Archives/edgar/data/1402057/000166031826000002/0001660318-26-000002.txt
BELL JAMES A,,2026-03-05,2026-03-09,1609,0.0,0.0,A,A,25731,False,True,False,0001182047-26-000002,https://www.sec.gov/Archives/edgar/data/1402057/000118204726000002/0001182047-26-000002.txt
BELL JAMES A,,2026-03-05,2026-03-09,402,0.0,0.0,A,A,26133,False,True,False,0001182047-26-000002,https://www.sec.gov/Archives/edgar/data/1402057/000118204726000002/0001182047-26-000002.txt
ADDICOTT VIRGINIA C.,,2026-03-05,2026-03-09,1609,0.0,0.0,A,A,18405,False,True,False,0001667743-26-000002,https://www.sec.gov/Archives/edgar/data/1402057/000166774326000002/0001667743-26-000002.txt
MIRALLES ALBERT JOSEPH JR,See Remarks,2026-02-13,2026-02-18,4179,0.0,0.0,A,A,37325,False,False,True,0001402057-26-000007,https://www.sec.gov/Archives/edgar/data/1402057/000140205726000007/0001402057-26-000007.txt
MIRALLES ALBERT JOSEPH JR,See Remarks,2026-02-13,2026-02-18,1894,126.86,240272.84,D,D,35430,False,False,True,0001402057-26-000007,https://www.sec.gov/Archives/edgar/data/1402057/000140205726000007/0001402057-26-000007.txt
LOCY PETER R,See Remarks,2026-02-13,2026-02-18,328,0.0,0.0,A,A,3556,False,False,True,0001402057-26-000002,https://www.sec.gov/Archives/edgar/data/1402057/000140205726000002/0001402057-26-000002.txt
LOCY PETER R,See Remarks,2026-02-13,2026-02-18,163,126.86,20678.18,D,D,3393,False,False,True,0001402057-26-000002,https://www.sec.gov/Archives/edgar/data/1402057/000140205726000002/0001402057-26-000002.txt
LEAHY CHRISTINE A,See Remarks,2026-02-13,2026-02-18,13846,0.0,0.0,A,A,159143,False,True,True,0001402057-26-000004,https://www.sec.gov/Archives/edgar/data/1402057/000140205726000004/0001402057-26-000004.txt
LEAHY CHRISTINE A,See Remarks,2026-02-13,2026-02-18,6158,126.86,781203.88,D,D,152985,False,True,True,0001402057-26-000004,https://www.sec.gov/Archives/edgar/data/1402057/000140205726000004/0001402057-26-000004.txt
KULEVICH FREDERICK J.,See Remarks,2026-02-13,2026-02-18,2812,0.0,0.0,A,A,38696,False,False,True,0001402057-26-000008,https://www.sec.gov/Archives/edgar/data/1402057/000140205726000008/0001402057-26-000008.txt
KULEVICH FREDERICK J.,See Remarks,2026-02-13,2026-02-18,1296,126.86,164410.56,D,D,37399,False,False,True,0001402057-26-000008,https://www.sec.gov/Archives/edgar/data/1402057/000140205726000008/0001402057-26-000008.txt
CONNELLY ELIZABETH H.,See Remarks,2026-02-13,2026-02-18,2085,0.0,0.0,A,A,24478,False,False,True,0001402057-26-000006,https://www.sec.gov/Archives/edgar/data/1402057/000140205726000006/0001402057-26-000006.txt
CONNELLY ELIZABETH H.,See Remarks,2026-02-13,2026-02-18,971,126.86,123181.06,D,D,23506,False,False,True,0001402057-26-000006,https://www.sec.gov/Archives/edgar/data/1402057/000140205726000006/0001402057-26-000006.txt
Swedish Joseph,,2026-01-02,2026-01-06,211,0.0,0.0,A,A,18086,False,True,False,0001179745-26-000002,https://www.sec.gov/Archives/edgar/data/1402057/000117974526000002/0001179745-26-000002.txt
NELMS DAVID W,,2026-01-02,2026-01-06,211,0.0,0.0,A,A,31006,False,True,False,0001183830-26-000002,https://www.sec.gov/Archives/edgar/data/1402057/000118383026000002/0001183830-26-000002.txt
LOCY PETER R,See Remarks,2025-12-22,2025-12-29,139,144.88,20138.32,D,F,3227,False,False,True,0001402057-25-000195,https://www.sec.gov/Archives/edgar/data/1402057/000140205725000195/0001402057-25-000195.txt
CLARIZIO LYNDA M,,2025-12-15,2025-12-17,345,0.0,0.0,D,G,14109,False,True,False,0001660318-25-000008,https://www.sec.gov/Archives/edgar/data/1402057/000166031825000008/0001660318-25-000008.txt
ZARCONE DONNA F,,2025-12-10,2025-12-12,59,149.54,8822.86,A,A,21269,False,True,False,0001243083-25-000004,https://www.sec.gov/Archives/edgar/data/1402057/000124308325000004/0001243083-25-000004.txt
Swedish Joseph,,2025-12-10,2025-12-12,17,149.54,2542.18,A,A,17875,False,True,False,0001179745-25-000008,https://www.sec.gov/Archives/edgar/data/1402057/000117974525000008/0001179745-25-000008.txt
Sanderson Katherine Elizabeth,See Remarks,2025-12-10,2025-12-12,55,149.54,8224.7,A,A,19383,False,False,True,0002037332-25-000009,https://www.sec.gov/Archives/edgar/data/1402057/000203733225000009/0002037332-25-000009.txt
