2026-06-03T18:18:17.674951 Starting download for CBOE
2026-06-03T18:18:27.893087 OK 27,685 bytes -> /workspace/CBOE/investor-documents/sec-edgar/8-K_20250627_rpt20250624_acc0001104659_25_063674.htm
2026-06-03T18:18:28.121974 OK 24,975 bytes -> /workspace/CBOE/investor-documents/sec-edgar/8-K_20250528_rpt20250527_acc0001104659_25_053355.htm
2026-06-03T18:18:28.388278 OK 45,708 bytes -> /workspace/CBOE/investor-documents/sec-edgar/8-K_20250507_rpt20250506_acc0001104659_25_045577.htm
2026-06-03T18:18:28.671369 OK 23,410 bytes -> /workspace/CBOE/investor-documents/sec-edgar/8-K_20250502_rpt20250502_acc0001628280_25_021670.htm
2026-06-03T18:18:28.931658 OK 38,466 bytes -> /workspace/CBOE/investor-documents/sec-edgar/8-K_20250501_rpt20250501_acc0001104659_25_043543.htm
2026-06-03T18:18:29.168021 OK 23,684 bytes -> /workspace/CBOE/investor-documents/sec-edgar/8-K_20250207_rpt20250207_acc0001628280_25_004343.htm
2026-06-03T18:18:29.522274 OK 29,882 bytes -> /workspace/CBOE/investor-documents/sec-edgar/8-K_20241204_rpt20241129_acc0001628280_24_049932.htm
2026-06-03T18:18:29.805468 OK 23,795 bytes -> /workspace/CBOE/investor-documents/sec-edgar/8-K_20241101_rpt20241101_acc0001628280_24_044651.htm
2026-06-03T18:18:29.997514 OK 34,360 bytes -> /workspace/CBOE/investor-documents/sec-edgar/8-K_20240802_rpt20240802_acc0001558370_24_010646.htm
2026-06-03T18:18:30.890474 OK 29,277 bytes -> /workspace/CBOE/investor-documents/sec-edgar/8-K_20240628_rpt20240625_acc0001104659_24_076309.htm
2026-06-03T18:18:31.132845 OK 84,378 bytes -> /workspace/CBOE/investor-documents/sec-edgar/8-K_20240520_rpt20240516_acc0001558370_24_008477.htm
2026-06-03T18:18:31.313770 OK 34,346 bytes -> /workspace/CBOE/investor-documents/sec-edgar/8-K_20240503_rpt20240503_acc0001558370_24_006591.htm
2026-06-03T18:18:31.496198 OK 31,834 bytes -> /workspace/CBOE/investor-documents/sec-edgar/8-K_20240209_rpt20240205_acc0001104659_24_012659.htm
2026-06-03T18:18:31.666190 OK 34,139 bytes -> /workspace/CBOE/investor-documents/sec-edgar/8-K_20240202_rpt20240202_acc0001558370_24_000699.htm
2026-06-03T18:18:31.965822 OK 21,440 bytes -> /workspace/CBOE/investor-documents/sec-edgar/8-K_20231106_rpt20231106_acc0001104659_23_114774.htm
2026-06-03T18:18:32.149820 OK 34,508 bytes -> /workspace/CBOE/investor-documents/sec-edgar/8-K_20231103_rpt20231103_acc0001558370_23_017499.htm
2026-06-03T18:18:32.338911 OK 32,980 bytes -> /workspace/CBOE/investor-documents/sec-edgar/8-K_20230919_rpt20230918_acc0001104659_23_101775.htm
2026-06-03T18:18:32.526079 OK 36,567 bytes -> /workspace/CBOE/investor-documents/sec-edgar/8-K_20230818_rpt20230815_acc0001558370_23_015106.htm
2026-06-03T18:18:32.526303 SEC filings downloaded: 56
2026-06-03T18:18:38.918353 IR PDF URLs found: 219
2026-06-03T18:18:39.633736 OK 619,238 bytes -> /workspace/CBOE/investor-documents/ir-cboe/final-q4-13-earnings-release-7.pdf
2026-06-03T18:18:40.055853 OK 32,526 bytes -> /workspace/CBOE/investor-documents/ir-cboe/q4-13-earnings-prepared-remarks-final-7.pdf
2026-06-03T18:18:40.694898 OK 219,376 bytes -> /workspace/CBOE/investor-documents/ir-cboe/cboe-holdings-prepared-remarks-for-1q14-6.pdf
2026-06-03T18:18:41.577740 OK 909,432 bytes -> /workspace/CBOE/investor-documents/ir-cboe/earnings-release-q1-14-final-6.pdf
2026-06-03T18:18:42.180738 OK 219,337 bytes -> /workspace/CBOE/investor-documents/ir-cboe/cboe-holdings-prepared-remarks-2q14-final-6.pdf
2026-06-03T18:18:42.921566 OK 978,230 bytes -> /workspace/CBOE/investor-documents/ir-cboe/earnings-release-6302014-final-6.pdf
2026-06-03T18:18:43.565441 OK 212,213 bytes -> /workspace/CBOE/investor-documents/ir-cboe/3q-14-earnings-prepared-remarks-6.pdf
2026-06-03T18:18:44.284069 OK 950,755 bytes -> /workspace/CBOE/investor-documents/ir-cboe/earnings-release-3q14-6.pdf
2026-06-03T18:18:45.034657 OK 997,551 bytes -> /workspace/CBOE/investor-documents/ir-cboe/pr-06022015a-6.pdf
2026-06-03T18:18:45.711899 OK 270,029 bytes -> /workspace/CBOE/investor-documents/ir-cboe/prepared-remarks-6.pdf
2026-06-03T18:18:46.392646 OK 924,062 bytes -> /workspace/CBOE/investor-documents/ir-cboe/1q15-earnings-release-5.pdf
2026-06-03T18:18:46.998677 OK 215,664 bytes -> /workspace/CBOE/investor-documents/ir-cboe/cboe-holdings-prepared-remarks-1q15-v2-5.pdf
2026-06-03T18:18:47.746769 OK 608,754 bytes -> /workspace/CBOE/investor-documents/ir-cboe/2q15-earnings-release-5.pdf
2026-06-03T18:18:48.392368 OK 213,954 bytes -> /workspace/CBOE/investor-documents/ir-cboe/cboe-holdings-prepared-remarks-q2-15-5.pdf
2026-06-03T18:18:49.081101 OK 973,839 bytes -> /workspace/CBOE/investor-documents/ir-cboe/3q15-earnings-release-5.pdf
2026-06-03T18:18:49.708609 OK 215,919 bytes -> /workspace/CBOE/investor-documents/ir-cboe/cboe-holdings-prepared-remarks-q3-15-5.pdf
2026-06-03T18:18:50.445213 OK 1,012,951 bytes -> /workspace/CBOE/investor-documents/ir-cboe/4q15-earnings-release-2015-5.pdf
2026-06-03T18:18:51.029020 OK 269,077 bytes -> /workspace/CBOE/investor-documents/ir-cboe/cboe-holdings-prepared-remarks-q4-15-earnings-call-5.pdf
2026-06-03T18:18:51.660466 OK 380,280 bytes -> /workspace/CBOE/investor-documents/ir-cboe/1Q16-prepared-remarks.pdf
2026-06-03T18:18:52.389106 OK 389,086 bytes -> /workspace/CBOE/investor-documents/ir-cboe/2Q16-prepared-remarks.pdf
2026-06-03T18:18:53.055385 OK 540,774 bytes -> /workspace/CBOE/investor-documents/ir-cboe/cboe-bats-final-conference-call-transcript.pdf
2026-06-03T18:18:53.671978 OK 219,603 bytes -> /workspace/CBOE/investor-documents/ir-cboe/3Q16-transcript.pdf
2026-06-03T18:18:54.326918 OK 243,852 bytes -> /workspace/CBOE/investor-documents/ir-cboe/credit-suisse-conference-transcript-rev-2-8-17.pdf
2026-06-03T18:18:54.761709 OK 54,351 bytes -> /workspace/CBOE/investor-documents/ir-cboe/1Q17-prepared-remarks.pdf
2026-06-03T18:18:55.426259 OK 318,879 bytes -> /workspace/CBOE/investor-documents/ir-cboe/3Q17-prepared-remarks.pdf
2026-06-03T18:18:55.997538 OK 335,856 bytes -> /workspace/CBOE/investor-documents/ir-cboe/4Q17-prepared-remarks.pdf
2026-06-03T18:18:56.612679 OK 308,808 bytes -> /workspace/CBOE/investor-documents/ir-cboe/1Q18-prepared-remarks.pdf
2026-06-03T18:18:57.189809 OK 384,093 bytes -> /workspace/CBOE/investor-documents/ir-cboe/2Q18-prepared-remarks.pdf
2026-06-03T18:18:58.007336 OK 548,949 bytes -> /workspace/CBOE/investor-documents/ir-cboe/3Q18-prepared-remarks.pdf
2026-06-03T18:18:58.667367 OK 544,828 bytes -> /workspace/CBOE/investor-documents/ir-cboe/4Q18-prepared-remarks.pdf
2026-06-03T18:18:59.283398 OK 203,367 bytes -> /workspace/CBOE/investor-documents/ir-cboe/1Q19-prepared-remarks.pdf
2026-06-03T18:18:59.821205 OK 89,029 bytes -> /workspace/CBOE/investor-documents/ir-cboe/2Q19-prepared-remarks.pdf
2026-06-03T18:19:00.525636 OK 600,948 bytes -> /workspace/CBOE/investor-documents/ir-cboe/3Q19-prepared-remarks.pdf
2026-06-03T18:19:01.204295 OK 186,595 bytes -> /workspace/CBOE/investor-documents/ir-cboe/4Q19-prepared-remarks.pdf
2026-06-03T18:19:01.897395 OK 396,414 bytes -> /workspace/CBOE/investor-documents/ir-cboe/1Q20-prepared-remarks.pdf
2026-06-03T18:19:02.583051 OK 649,286 bytes -> /workspace/CBOE/investor-documents/ir-cboe/2Q20-prepared-remarks.pdf
2026-06-03T18:19:03.246687 OK 267,993 bytes -> /workspace/CBOE/investor-documents/ir-cboe/3Q20-prepared-remarks.pdf
2026-06-03T18:19:03.854986 OK 515,707 bytes -> /workspace/CBOE/investor-documents/ir-cboe/1q21-earnings-R.pdf
2026-06-03T18:19:04.542088 OK 560,119 bytes -> /workspace/CBOE/investor-documents/ir-cboe/2q-21-earnings-release.pdf
2026-06-03T18:19:05.316215 OK 892,390 bytes -> /workspace/CBOE/investor-documents/ir-cboe/3q21-ER.pdf
2026-06-03T18:19:06.020879 OK 828,325 bytes -> /workspace/CBOE/investor-documents/ir-cboe/4q21-cboe-ER.pdf
2026-06-03T18:19:06.347819 FAIL https://s202.q4cdn.com/174824971/files/doc_events/2022/4q22-er-cboe.pdf -> HTTP Error 404: Not Found
2026-06-03T18:19:07.040935 OK 879,201 bytes -> /workspace/CBOE/investor-documents/ir-cboe/2Q22-cbe-er.pdf
2026-06-03T18:19:07.688173 OK 683,594 bytes -> /workspace/CBOE/investor-documents/ir-cboe/3q22-cboe-ea.pdf
2026-06-03T18:19:08.326891 OK 508,020 bytes -> /workspace/CBOE/investor-documents/ir-cboe/1q23-er-cboe.pdf
2026-06-03T18:19:08.929540 OK 232,342 bytes -> /workspace/CBOE/investor-documents/ir-cboe/2q23-cboe-pm.pdf
2026-06-03T18:19:09.614377 OK 559,784 bytes -> /workspace/CBOE/investor-documents/ir-cboe/2q23-er-cboe.pdf
2026-06-03T18:19:10.461841 OK 1,263,002 bytes -> /workspace/CBOE/investor-documents/ir-cboe/Cboe-Global-Markets-Investor-Presentation-March-2026.pdf
2026-06-03T18:19:11.469354 OK 1,984,963 bytes -> /workspace/CBOE/investor-documents/ir-cboe/annualreport2014.pdf
2026-06-03T18:19:12.382977 OK 1,938,152 bytes -> /workspace/CBOE/investor-documents/ir-cboe/1q15-earnings-presentation-v2.pdf
2026-06-03T18:19:13.015855 OK 215,664 bytes -> /workspace/CBOE/investor-documents/ir-cboe/q1-15-prepared.pdf
2026-06-03T18:19:13.784564 OK 1,094,976 bytes -> /workspace/CBOE/investor-documents/ir-cboe/2q15-earnings-presentation.pdf
2026-06-03T18:19:14.478819 OK 213,954 bytes -> /workspace/CBOE/investor-documents/ir-cboe/q2-15-prepared.pdf
2026-06-03T18:19:15.504429 OK 1,229,305 bytes -> /workspace/CBOE/investor-documents/ir-cboe/3q15-earnings-presentation.pdf
2026-06-03T18:19:16.133165 OK 211,485 bytes -> /workspace/CBOE/investor-documents/ir-cboe/q3-15-prepared.pdf
2026-06-03T18:19:16.787044 OK 1,032,923 bytes -> /workspace/CBOE/investor-documents/ir-cboe/4q15-cboe-holdings-earnings-slides-final.pdf
2026-06-03T18:19:17.414737 OK 269,077 bytes -> /workspace/CBOE/investor-documents/ir-cboe/q4-15-prepaed.pdf
2026-06-03T18:19:18.327678 OK 1,986,437 bytes -> /workspace/CBOE/investor-documents/ir-cboe/annual-report-2015.pdf
2026-06-03T18:19:19.075092 OK 901,381 bytes -> /workspace/CBOE/investor-documents/ir-cboe/1q-16-earnings-presentation-2016.pdf
2026-06-03T18:19:19.741155 OK 380,280 bytes -> /workspace/CBOE/investor-documents/ir-cboe/q1-16-pepared-re.pdf
2026-06-03T18:19:20.561035 OK 1,159,647 bytes -> /workspace/CBOE/investor-documents/ir-cboe/2q-16-slide-29072016.pdf
2026-06-03T18:19:21.194590 OK 389,086 bytes -> /workspace/CBOE/investor-documents/ir-cboe/2q16-prepRED-re.pdf
2026-06-03T18:19:21.919370 OK 1,168,906 bytes -> /workspace/CBOE/investor-documents/ir-cboe/3q-earning-presentation-28102016.pdf
2026-06-03T18:19:22.563866 OK 219,603 bytes -> /workspace/CBOE/investor-documents/ir-cboe/3q16-earnings-call-transcript.pdf
2026-06-03T18:19:23.222442 OK 359,270 bytes -> /workspace/CBOE/investor-documents/ir-cboe/4q16-earnings-call-transcript.pdf
2026-06-03T18:19:24.023415 OK 1,118,002 bytes -> /workspace/CBOE/investor-documents/ir-cboe/q4-2016-earnings-presentation.pdf
2026-06-03T18:19:24.698654 OK 784,315 bytes -> /workspace/CBOE/investor-documents/ir-cboe/annual-report-2016.pdf
