as_of,ticker,price_index,price_as_of,operating_metric,metric_name,lawrence_base_irr_pct,source
2026-07-07,RGLD,359.72,2026-07-01,,,6.7,returns_vault+filing_panels
2026-07-07,FNV,335.81,2026-07-01,,,4.5,returns_vault+filing_panels
2026-07-07,WPM,618.91,2026-07-01,,,-1.6,returns_vault+filing_panels
2026-07-07,OR,232.0,2026-07-01,,,4.9,returns_vault+filing_panels
