as_of,ticker,price_index,price_as_of,operating_metric,metric_name,lawrence_base_irr_pct,source
2026-06-22,CME,251.69,2026-06-01,,,11.2,returns_vault+filing_panels
2026-06-22,ICE,246.9,2026-06-01,,,11.2,returns_vault+filing_panels
2026-06-22,CBOE,391.36,2026-06-01,,,13.2,returns_vault+filing_panels
2026-06-22,MIAX,100.19,2026-06-01,,,11.0,returns_vault+filing_panels
2026-06-22,8697.T,299.14,2026-06-01,,,3.2,returns_vault+filing_panels
