2026-07-02T10:39:35.164948 Starting download for COLD
2026-07-02T10:40:06.348186 OK 818,993 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\COLD\investor-documents\ir-cold\Q1-2022-Quarterly-Supplemental-Reporting-_1_.pdf
2026-07-02T10:40:06.986846 OK 259,886 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\COLD\investor-documents\ir-cold\AMERICOLD-REALTY-TRUST_-INC.-ANNOUNCES-SECOND-QUARTER-2022-RESULTS.pdf
2026-07-02T10:40:07.768219 OK 957,347 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\COLD\investor-documents\ir-cold\Americold-Q2-2022-Quarterly-Supplemental-Reporting.pdf
2026-07-02T10:40:08.146641 OK 261,276 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\COLD\investor-documents\ir-cold\Q3-2022-Press-Release.pdf
2026-07-02T10:40:09.445467 OK 876,906 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\COLD\investor-documents\ir-cold\Q3-2022-Quarterly-Supplemental-Reporting.pdf
2026-07-02T10:40:10.129160 OK 251,935 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\COLD\investor-documents\ir-cold\Q4-2022-Press-Release.pdf
2026-07-02T10:40:10.942880 OK 638,773 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\COLD\investor-documents\ir-cold\Q4-2022-Quarterly-Supplemental-Reporting.pdf
2026-07-02T10:40:11.704978 OK 1,587,256 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\COLD\investor-documents\ir-cold\Q1-2023-Quarterly-Supplemental-Reporting.pdf
2026-07-02T10:40:15.810811 OK 218,423 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\COLD\investor-documents\ir-cold\Q1-2023_Press-Release.pdf
2026-07-02T10:40:16.683744 OK 268,560 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\COLD\investor-documents\ir-cold\Q2-2023-Press-Release.pdf
2026-07-02T10:40:17.955792 OK 839,717 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\COLD\investor-documents\ir-cold\Q2-2023-Quarterly-Supplemental-Reporting.pdf
2026-07-02T10:40:18.514074 OK 271,130 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\COLD\investor-documents\ir-cold\Q3-2023-Press-Release.pdf
2026-07-02T10:40:19.852268 OK 839,982 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\COLD\investor-documents\ir-cold\Q3-2023-Quarterly-Supplemental-Reporting.pdf
2026-07-02T10:40:21.841602 OK 4,881,396 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\COLD\investor-documents\ir-cold\2024-Proxy-Statement.pdf
2026-07-02T10:40:22.625972 OK 192,434 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\COLD\investor-documents\ir-cold\Q4-2023-Press-Release.pdf
2026-07-02T10:40:23.348157 OK 658,035 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\COLD\investor-documents\ir-cold\Q4-2023-Supplemental-Reporting.pdf
2026-07-02T10:40:24.206841 OK 939,997 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\COLD\investor-documents\ir-cold\q1-2024-quarterly-supplemental-reporting.pdf
2026-07-02T10:40:24.842469 OK 755,864 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\COLD\investor-documents\ir-cold\Q1-2024-Press-Release.pdf
