2026-07-10T10:24:26.746042 Starting download for NUE
2026-07-21T03:51:38.466970 OK 3,457,479 bytes -> /workspace/NUE/investor-documents/ir-nue/2025-Nucor-Proxy-Statement-2025-03-24.pdf
2026-07-21T03:51:38.843295 OK 1,216,651 bytes -> /workspace/NUE/investor-documents/ir-nue/a1091887-5d3b-4cc2-b1c5-7623695cc1b5.pdf
2026-07-21T03:51:39.187025 OK 604,983 bytes -> /workspace/NUE/investor-documents/ir-nue/NUE-Q1-2025.pdf
2026-07-21T03:51:39.949982 OK 2,483,160 bytes -> /workspace/NUE/investor-documents/ir-nue/Nucor-Q1-2025-Earnings-Call-Presentation_April-29-2025.pdf
2026-07-21T03:51:40.428971 OK 75,827 bytes -> /workspace/NUE/investor-documents/ir-nue/Sales-Earnings-Tondata-Q1-2025.pdf
2026-07-21T03:51:40.869486 OK 70,007 bytes -> /workspace/NUE/investor-documents/ir-nue/Sales-and-Scrap-Price-Analysis-Q1-2025.pdf
2026-07-21T03:51:41.571470 OK 1,199,427 bytes -> /workspace/NUE/investor-documents/ir-nue/Nucor-Q2-2025-Earnings-Call-Presentation-vFinal.pdf
2026-07-21T03:51:41.947494 OK 76,374 bytes -> /workspace/NUE/investor-documents/ir-nue/Sales-Earnings-Tondata-Q2-2025.pdf
2026-07-21T03:51:42.321833 OK 71,884 bytes -> /workspace/NUE/investor-documents/ir-nue/Sales-and-Scrap-Price-Analysis-Q2-2025.pdf
2026-07-21T03:51:42.952965 OK 964,697 bytes -> /workspace/NUE/investor-documents/ir-nue/c6fe883c-616c-47c2-9d78-648e1f58e770.pdf
2026-07-21T03:51:43.542426 OK 403,340 bytes -> /workspace/NUE/investor-documents/ir-nue/90c90bb3-13ca-4b01-8b52-7ba884db6f32.pdf
2026-07-21T03:51:44.102162 OK 1,134,616 bytes -> /workspace/NUE/investor-documents/ir-nue/Nucor-Q3-2025-Earnings-Call-Presentation_Final.pdf
2026-07-21T03:51:44.609022 OK 76,827 bytes -> /workspace/NUE/investor-documents/ir-nue/Sales-Earnings-Tondata-Q3-2025.pdf
2026-07-21T03:51:45.058120 OK 72,289 bytes -> /workspace/NUE/investor-documents/ir-nue/Sales-and-Scrap-Price-Analysis-Q3-2025.pdf
