fund_id,fund,manager,quarter,letter_date,source_file,source_document
landb-lnbcg,Landb Lnbcg,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/LandB-Q1-2026-Investor-Letter-LNBCG-T.txt,_system/reference/superinvestor-letters/2026Q1/LandB-Q1-2026-Investor-Letter-LNBCG-T.pdf
logos,Logos,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Logos Investor Letter Q1 2026.txt,_system/reference/superinvestor-letters/2026Q1/Logos Investor Letter Q1 2026.pdf
longcast-1q26,Longcast 1q26+,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Longcast 1Q26+Final.txt,_system/reference/superinvestor-letters/2026Q1/Longcast 1Q26+Final.pdf
longriver,Longriver,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Longriver - Quarterly Letter - 26 Q1.txt,_system/reference/superinvestor-letters/2026Q1/Longriver - Quarterly Letter - 26 Q1.pdf
lux-lux,Lux Lux,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Lux Q1 26 Lux LP Letter.txt,_system/reference/superinvestor-letters/2026Q1/Lux Q1 26 Lux LP Letter.pdf
mangrove,Mangrove,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Mangrove 2026 03 - Partners Fund Letter.txt,_system/reference/superinvestor-letters/2026Q1/Mangrove 2026 03 - Partners Fund Letter.pdf
maple-rock,Maple Rock,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Maple Rock Investor Letter (Q1 2026) (1).txt,_system/reference/superinvestor-letters/2026Q1/Maple Rock Investor Letter (Q1 2026) (1).pdf
maran,Maran,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Maran_Partners_Fund_LP_2026_1Q_Letter.txt,_system/reference/superinvestor-letters/2026Q1/Maran_Partners_Fund_LP_2026_1Q_Letter.pdf
massif-1q2026-to,Massif 1q2026 To,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Massif Capital 1Q2026 Letter to Investors.txt,_system/reference/superinvestor-letters/2026Q1/Massif Capital 1Q2026 Letter to Investors.pdf
mcintyre-partnerships,Mcintyre Partnerships,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/McIntyre_Partnerships_Q1_2026_Letter.txt,_system/reference/superinvestor-letters/2026Q1/McIntyre_Partnerships_Q1_2026_Letter.pdf
mge-global-equity-sp,Mge Global Equity Sp,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/MGE_Global_Equity_SP_-_YE25_Investor_Letter_and_Update.txt,_system/reference/superinvestor-letters/2026Q1/MGE_Global_Equity_SP_-_YE25_Investor_Letter_and_Update.pdf
mgg,Mgg,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/MGG Q1 2026 Investor Letter.txt,_system/reference/superinvestor-letters/2026Q1/MGG Q1 2026 Investor Letter.pdf
militia-hedge,Militia Hedge,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Militia 2026-Final-Hedge-Fund-Letter.txt,_system/reference/superinvestor-letters/2026Q1/Militia 2026-Final-Hedge-Fund-Letter.pdf
most-recent-alta-park,Most Recent Alta Park,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Most Recent - Alta Park Capital - Quarterly Letter - (Series 1.0).txt,_system/reference/superinvestor-letters/2026Q1/Most Recent - Alta Park Capital - Quarterly Letter - (Series 1.0).pdf
