fund_id,fund,manager,quarter,letter_date,source_file,source_document
breach-inlet-1q26,Breach Inlet 1q26,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Breach Inlet - 1Q26 Letter.txt,_system/reference/superinvestor-letters/2026Q1/Breach Inlet - 1Q26 Letter.pdf
bucket-decision-technical,Bucket Decision Technical,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Bucket_4_Decision_Memo_and_Technical_Report.txt,_system/reference/superinvestor-letters/2026Q1/Bucket_4_Decision_Memo_and_Technical_Report.pdf
buckley,Buckley,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Buckley_Capital_Q1_2026_Letter.01.txt,_system/reference/superinvestor-letters/2026Q1/Buckley_Capital_Q1_2026_Letter.01.pdf
butler-hall-investment,Butler Hall Investment,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Butler Hall 2026 Q1 Investment Letter_Final.txt,_system/reference/superinvestor-letters/2026Q1/Butler Hall 2026 Q1 Investment Letter_Final.pdf
bwcp-series,"Bwcp, Series",,2026Q1,2026-03-31,"_system/reference/superinvestor-letters/2026Q1/BWCP, LP Series B Letter - Q1 2026.txt","_system/reference/superinvestor-letters/2026Q1/BWCP, LP Series B Letter - Q1 2026.pdf"
caius-master,Caius Master,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Caius Capital Master Fund_Investor Letter_March 2026 (Prospect).txt,_system/reference/superinvestor-letters/2026Q1/Caius Capital Master Fund_Investor Letter_March 2026 (Prospect).pdf
carnatic,Carnatic,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Carnatic_Partners_LP_Quarterly_Letter 2026_Q1_.txt,_system/reference/superinvestor-letters/2026Q1/Carnatic_Partners_LP_Quarterly_Letter 2026_Q1_.pdf
castleknight-1q26,Castleknight 1q26,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/CastleKnight - 1Q26 Letter.txt,_system/reference/superinvestor-letters/2026Q1/CastleKnight - 1Q26 Letter.pdf
cat-rock-ai-markets,Cat Rock Ai Markets,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Cat Rock Capital AI and Markets Presentation.txt,_system/reference/superinvestor-letters/2026Q1/Cat Rock Capital AI and Markets Presentation.pdf
cedar-creek-results-for-cedar-creek,Cedar Creek +results+for+cedar+creek+,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Cedar Creek Q1+2026+Results+for+Cedar+Creek+Partners.txt,_system/reference/superinvestor-letters/2026Q1/Cedar Creek Q1+2026+Results+for+Cedar+Creek+Partners.pdf
competitive-advantage-period,Competitive Advantage Period,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Competitive Advantage Period.txt,_system/reference/superinvestor-letters/2026Q1/Competitive Advantage Period.pdf
counterwave-1q26,Counterwave 1q26,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Counterwave 1Q26 Letter.txt,_system/reference/superinvestor-letters/2026Q1/Counterwave 1Q26 Letter.pdf
crestbreak-pre-launch,Crestbreak Pre Launch,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Crestbreak Capital Pre-Launch Letter.txt,_system/reference/superinvestor-letters/2026Q1/Crestbreak Capital Pre-Launch Letter.pdf
cs-at1-co-invest,Cs+at1+ +co Invest,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/CS+AT1+-+Co-Invest (1).txt,_system/reference/superinvestor-letters/2026Q1/CS+AT1+-+Co-Invest (1).pdf
cs-at1-co-invest,Cs+at1+ +co Invest,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/CS+AT1+-+Co-Invest.txt,_system/reference/superinvestor-letters/2026Q1/CS+AT1+-+Co-Invest.pdf
curreen,Curreen,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Curreen Q1+2026+Letter.txt,_system/reference/superinvestor-letters/2026Q1/Curreen Q1+2026+Letter.pdf
d1,D1,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/D1 Investor Letter 2026 04 03_.txt,_system/reference/superinvestor-letters/2026Q1/D1 Investor Letter 2026 04 03_.pdf
dan-benton-s-rules-for,Dan Benton's Rules For,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Dan_Benton's_2026_Rules_For_Technology_Investing.txt,_system/reference/superinvestor-letters/2026Q1/Dan_Benton's_2026_Rules_For_Technology_Investing.pdf
daventry-group,Daventry Group,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Daventry Group Q1 2026 Investor Letter.txt,_system/reference/superinvestor-letters/2026Q1/Daventry Group Q1 2026 Investor Letter.pdf
desert-lion,Desert Lion,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Desert_Lion_Investor_Report_April_2026 2026_04_.txt,_system/reference/superinvestor-letters/2026Q1/Desert_Lion_Investor_Report_April_2026 2026_04_.pdf
desert-lion,Desert Lion,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Desert_Lion_Investor_Report_March_2026 2026_03_.txt,_system/reference/superinvestor-letters/2026Q1/Desert_Lion_Investor_Report_March_2026 2026_03_.pdf
distressed-chinese-real-estate-investment-opportunity,Distressed+chinese+real+estate+ +investment+opportunity+,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Distressed+Chinese+Real+Estate+-+Investment+Opportunity+October.txt,_system/reference/superinvestor-letters/2026Q1/Distressed+Chinese+Real+Estate+-+Investment+Opportunity+October.pdf
e72dt,E72dt,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/E72DT-Quarterly-Report-March-2026.txt,_system/reference/superinvestor-letters/2026Q1/E72DT-Quarterly-Report-March-2026.pdf
eagle,Eagle,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Eagle Q1 2026 Investor Letter.txt,_system/reference/superinvestor-letters/2026Q1/Eagle Q1 2026 Investor Letter.pdf
elliott,Elliott,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Elliott letter 2026-03-31.txt,_system/reference/superinvestor-letters/2026Q1/Elliott letter 2026-03-31.pdf
endeavour-erbof-ii-q12026,Endeavour Erbof Ii Q12026,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Endeavour - ERBOF II Investor Letter Q12026.txt,_system/reference/superinvestor-letters/2026Q1/Endeavour - ERBOF II Investor Letter Q12026.pdf
