ticker,status,priority,notes,created_at,updated_at,last_captured_at,captured_count,last_note,search_url
CBRS,pending,,,2026-06-17T21:16:51Z,2026-06-17T21:16:51Z,,0,,https://www.google.com/search?q=site%3Avalueinvestorsclub.com%2Fidea+CBRS
CDZI,active,,,2026-06-17T21:16:51Z,2026-06-18T02:30:00Z,,0,,https://www.google.com/search?q=site%3Avalueinvestorsclub.com%2Fidea+CDZI
CKX,pending,,,2026-06-17T21:16:51Z,2026-06-17T21:16:51Z,,0,,https://www.google.com/search?q=site%3Avalueinvestorsclub.com%2Fidea+CKX
CME,pending,,,2026-06-17T21:16:51Z,2026-06-17T21:16:51Z,,0,,https://www.google.com/search?q=site%3Avalueinvestorsclub.com%2Fidea+CME
CMSG,pending,,,2026-06-17T21:16:51Z,2026-06-17T21:16:51Z,,0,,https://www.google.com/search?q=site%3Avalueinvestorsclub.com%2Fidea+CMSG
CPRT,pending,,,2026-06-17T21:16:51Z,2026-06-17T21:16:51Z,,0,,https://www.google.com/search?q=site%3Avalueinvestorsclub.com%2Fidea+CPRT
CRCL,pending,,,2026-06-17T21:16:51Z,2026-06-17T21:16:51Z,,0,,https://www.google.com/search?q=site%3Avalueinvestorsclub.com%2Fidea+CRCL
CSGP,pending,,,2026-06-17T21:16:51Z,2026-06-17T21:16:51Z,,0,,https://www.google.com/search?q=site%3Avalueinvestorsclub.com%2Fidea+CSGP
CSU,pending,,,2026-06-17T21:16:51Z,2026-06-17T21:16:51Z,,0,,https://www.google.com/search?q=site%3Avalueinvestorsclub.com%2Fidea+CSU
DB1.DE,pending,,,2026-06-17T21:16:51Z,2026-06-17T21:16:51Z,,0,,https://www.google.com/search?q=site%3Avalueinvestorsclub.com%2Fidea+DB1.DE
DHR,pending,,,2026-06-17T21:16:51Z,2026-06-17T21:16:51Z,,0,,https://www.google.com/search?q=site%3Avalueinvestorsclub.com%2Fidea+DHR
DMLP,pending,,,2026-06-17T21:16:51Z,2026-06-17T21:16:51Z,,0,,https://www.google.com/search?q=site%3Avalueinvestorsclub.com%2Fidea+DMLP
DRR.AX,pending,,,2026-06-17T21:16:51Z,2026-06-17T21:16:51Z,,0,,https://www.google.com/search?q=site%3Avalueinvestorsclub.com%2Fidea+DRR.AX
ENX.PA,pending,,,2026-06-17T21:16:51Z,2026-06-17T21:16:51Z,,0,,https://www.google.com/search?q=site%3Avalueinvestorsclub.com%2Fidea+ENX.PA
EVR,pending,,,2026-06-17T21:16:51Z,2026-06-17T21:16:51Z,,0,,https://www.google.com/search?q=site%3Avalueinvestorsclub.com%2Fidea+EVR
FNV,pending,,,2026-06-17T21:16:51Z,2026-06-17T21:16:51Z,,0,,https://www.google.com/search?q=site%3Avalueinvestorsclub.com%2Fidea+FNV
FRMI,pending,,,2026-06-17T21:16:51Z,2026-06-17T21:16:51Z,,0,,https://www.google.com/search?q=site%3Avalueinvestorsclub.com%2Fidea+FRMI
FRMO,pending,,,2026-06-17T21:16:51Z,2026-06-17T21:16:51Z,,0,,https://www.google.com/search?q=site%3Avalueinvestorsclub.com%2Fidea+FRMO
GCCO,pending,,,2026-06-17T21:16:51Z,2026-06-17T21:16:51Z,,0,,https://www.google.com/search?q=site%3Avalueinvestorsclub.com%2Fidea+GCCO
GLXY,pending,,,2026-06-17T21:16:51Z,2026-06-17T21:16:51Z,,0,,https://www.google.com/search?q=site%3Avalueinvestorsclub.com%2Fidea+GLXY
GOOGL,pending,,,2026-06-17T21:16:51Z,2026-06-17T21:16:51Z,,0,,https://www.google.com/search?q=site%3Avalueinvestorsclub.com%2Fidea+GOOGL
GPW.WA,pending,,,2026-06-17T21:16:51Z,2026-06-17T21:16:51Z,,0,,https://www.google.com/search?q=site%3Avalueinvestorsclub.com%2Fidea+GPW.WA
GROY,pending,,,2026-06-17T21:16:51Z,2026-06-17T21:16:51Z,,0,,https://www.google.com/search?q=site%3Avalueinvestorsclub.com%2Fidea+GROY
HE,pending,,,2026-06-17T21:16:51Z,2026-06-17T21:16:51Z,,0,,https://www.google.com/search?q=site%3Avalueinvestorsclub.com%2Fidea+HE
HEE,pending,,,2026-06-17T21:16:51Z,2026-06-17T21:16:51Z,,0,,https://www.google.com/search?q=site%3Avalueinvestorsclub.com%2Fidea+HEE
HKHC,pending,,,2026-06-17T21:16:51Z,2026-06-17T21:16:51Z,,0,,https://www.google.com/search?q=site%3Avalueinvestorsclub.com%2Fidea+HKHC
HNFSA,pending,,,2026-06-17T21:16:51Z,2026-06-17T21:16:51Z,,0,,https://www.google.com/search?q=site%3Avalueinvestorsclub.com%2Fidea+HNFSA
ICE,pending,,,2026-06-17T21:16:51Z,2026-06-17T21:16:51Z,,0,,https://www.google.com/search?q=site%3Avalueinvestorsclub.com%2Fidea+ICE
IDA.AX,pending,,,2026-06-17T21:16:51Z,2026-06-17T21:16:51Z,,0,,https://www.google.com/search?q=site%3Avalueinvestorsclub.com%2Fidea+IDA.AX
IEX.NS,pending,,,2026-06-17T21:16:51Z,2026-06-17T21:16:51Z,,0,,https://www.google.com/search?q=site%3Avalueinvestorsclub.com%2Fidea+IEX.NS
KEWL,pending,,,2026-06-17T21:16:51Z,2026-06-17T21:16:51Z,,0,,https://www.google.com/search?q=site%3Avalueinvestorsclub.com%2Fidea+KEWL
KRP,pending,,,2026-06-17T21:16:51Z,2026-06-17T21:16:51Z,,0,,https://www.google.com/search?q=site%3Avalueinvestorsclub.com%2Fidea+KRP
LAND,pending,,,2026-06-17T21:16:51Z,2026-06-17T21:16:51Z,,0,,https://www.google.com/search?q=site%3Avalueinvestorsclub.com%2Fidea+LAND
LB,pending,,,2026-06-17T21:16:51Z,2026-06-17T21:16:51Z,,0,,https://www.google.com/search?q=site%3Avalueinvestorsclub.com%2Fidea+LB
