NumberOfOperatingSegments: one
DebtInstrumentConvertibleConversionRatio1: 0.0063492
DebtInstrumentConvertibleConversionRatio1: 0.0063492
CashAndCashEquivalentsAtCarryingValue: 2,828,163
CashAndCashEquivalentsAtCarryingValue: 2,628,798
AvailableForSaleSecuritiesDebtSecuritiesCurrent: 1,201,523
AvailableForSaleSecuritiesDebtSecuritiesCurrent: 2,008,873
PrepaidExpenseAndOtherAssetsCurrent: 195,128
PrepaidExpenseAndOtherAssetsCurrent: 211,234
AssetsCurrent: 5,742,612
AssetsCurrent: 5,869,372
AvailableForSaleSecuritiesDebtSecuritiesNoncurrent: 755,013
AvailableForSaleSecuritiesDebtSecuritiesNoncurrent: 656,476
OperatingLeaseRightOfUseAsset: 274,897
OperatingLeaseRightOfUseAsset: 359,439
IntangibleAssetsNetExcludingGoodwill: 246,916
IntangibleAssetsNetExcludingGoodwill: 278,028
OtherAssetsNoncurrent: 428,320
OtherAssetsNoncurrent: 333,704
Assets: 9,132,495
Assets: 9,033,938
AccruedLiabilitiesCurrent: 879,537
AccruedLiabilitiesCurrent: 515,454
OperatingLeaseLiabilityCurrent: 49,598
OperatingLeaseLiabilityCurrent: 35,923
LiabilitiesCurrent: 4,421,691
LiabilitiesCurrent: 3,301,183
ConvertibleDebtNoncurrent: 2,279,827
ConvertibleDebtNoncurrent: 2,271,529
OperatingLeaseLiabilityNoncurrent: 411,689
OperatingLeaseLiabilityNoncurrent: 377,818
OtherLiabilitiesNoncurrent: 80,746
OtherLiabilitiesNoncurrent: 61,264
Liabilities: 7,208,393
Liabilities: 6,027,295
AccumulatedOtherComprehensiveIncomeLossNetOfTax: 3,337
AccumulatedOtherComprehensiveIncomeLossNetOfTax: 2,236
RetainedEarningsAccumulatedDeficit: 9,494,249
RetainedEarningsAccumulatedDeficit: 7,293,575
StockholdersEquity: 1,924,102
StockholdersEquity: 2,999,929
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 1,924,102
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 3,006,643
LiabilitiesAndStockholdersEquity: 9,132,495
LiabilitiesAndStockholdersEquity: 9,033,938
RevenueFromContractWithCustomerExcludingAssessedTax: 4,683,946
RevenueFromContractWithCustomerExcludingAssessedTax: 3,626,396
RevenueFromContractWithCustomerExcludingAssessedTax: 2,806,489
OperatingExpenses: 4,581,306
OperatingExpenses: 3,867,733
OperatingExpenses: 3,002,704
OperatingIncomeLoss: 1,435,165
OperatingIncomeLoss: 1,456,010
OperatingIncomeLoss: 1,094,773
InvestmentIncomeNonoperating: 190,556
InvestmentIncomeNonoperating: 209,009
InvestmentIncomeNonoperating: 200,663
OtherNonoperatingIncomeExpense: 59,003
OtherNonoperatingIncomeExpense: 35,339
OtherNonoperatingIncomeExpense: 44,887
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest: 1,311,910
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest: 1,285,099
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest: 849,223
IncomeTaxExpenseBenefit: 17,125
IncomeTaxExpenseBenefit: 4,113
IncomeTaxExpenseBenefit: 11,233
NetIncomeLossAttributableToNoncontrollingInterest: 2,581
NetIncomeLossAttributableToNoncontrollingInterest: 3,572
NetIncomeLossAttributableToNoncontrollingInterest: 1,893
NetIncomeLoss: 1,331,616
NetIncomeLoss: 1,285,640
NetIncomeLoss: 836,097
EarningsPerShareDiluted: 3.95
EarningsPerShareBasic: 3.86
EarningsPerShareBasic: 2.55
OtherComprehensiveIncomeLossCashFlowHedgeGainLossBeforeReclassificationAfterTax: 10,405
OtherComprehensiveIncomeLossCashFlowHedgeGainLossBeforeReclassificationAfterTax: 52
OtherComprehensiveIncomeLossCashFlowHedgeGainLossBeforeReclassificationAfterTax: 574
OtherComprehensiveIncomeLossCashFlowHedgeGainLossReclassificationAfterTax: 9,662
OtherComprehensiveIncomeLossCashFlowHedgeGainLossReclassificationAfterTax: 82
OtherComprehensiveIncomeLossCashFlowHedgeGainLossReclassificationAfterTax: 134
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax: 4,718
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax: 5,982
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax: 30,760
OtherComprehensiveIncomeOtherNetOfTax: 112
OtherComprehensiveIncomeOtherNetOfTax: 28
OtherComprehensiveIncomeOtherNetOfTax: &#8212;
OtherComprehensiveIncomeLossNetOfTax: 5,573
OtherComprehensiveIncomeLossNetOfTax: 5,984
OtherComprehensiveIncomeLossNetOfTax: 30,052
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest: 1,323,462
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest: 1,283,228
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest: 807,938
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest: 2,581
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest: 3,572
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest: 1,893
ComprehensiveIncomeNetOfTax: 1,326,043
ComprehensiveIncomeNetOfTax: 1,279,656
ComprehensiveIncomeNetOfTax: 806,045
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 32
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: &#8212;
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 8,210,750
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 38,272
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 2,716,074
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 5,456,436
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 12,179
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 5,468,615
OtherComprehensiveIncomeLossNetOfTax: 30,052
OtherComprehensiveIncomeLossNetOfTax: 30,052
OtherComprehensiveIncomeLossNetOfTax: 30,052
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 34
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 67,140
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 9,331,238
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 8,220
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 4,075,604
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 5,180,308
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 10,286
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 5,190,594
AdjustmentsToAdditionalPaidInCapitalPurchasesOfCappedCallsRelatedToConvertibleDebt: 195,500
AdjustmentsToAdditionalPaidInCapitalPurchasesOfCappedCallsRelatedToConvertibleDebt: 195,500
AdjustmentsToAdditionalPaidInCapitalPurchasesOfCappedCallsRelatedToConvertibleDebt: 195,500
OtherComprehensiveIncomeLossNetOfTax: 5,984
OtherComprehensiveIncomeLossNetOfTax: 5,984
OtherComprehensiveIncomeLossNetOfTax: 5,984
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 34
