period_end,fy,half,etf_basket_ret,etf_perf_basket_ret,etf_basket_vol
2020-09-30,2021,H1,0.1609164074421869,0.0,0.38893176407582825
2021-03-31,2021,H2,0.08827847017574365,0.0,0.28387589219113907
2021-09-30,2022,H1,0.009274209470853945,0.0,0.40200458657676713
2022-03-31,2022,H2,-0.058578690308467324,0.0,0.38396165536480764
2022-09-30,2023,H1,-0.036584036191594,0.0,0.32588381896084595
2023-03-31,2023,H2,0.010505702470330159,0.0,0.2548022498049935
2023-09-30,2024,H1,0.028993777079456134,-0.009714275768208333,95.33098792539936
2024-03-31,2024,H2,0.12445971416867595,0.17946375351094124,0.23715944341401024
2024-09-30,2025,H1,-0.0687016727611094,-0.03693637252915427,0.3672201153643415
2025-03-31,2025,H2,0.0011810483927581817,0.0645157713496063,0.21934879955029998
2025-09-30,2026,H1,0.10382617917971812,0.18701889665267546,1.4107848535176868
2026-03-31,2026,H2,0.07443799371076461,0.1476060990257009,0.3274792179935585
