date,ticker,flow_jpym,tag
2019-09-03,1321.T,0.0,[Derived]
2019-09-04,1321.T,-0.0,[Derived]
2019-09-05,1321.T,0.0,[Derived]
2019-09-06,1321.T,-0.0,[Derived]
2019-09-09,1321.T,-0.0,[Derived]
2019-09-10,1321.T,0.0,[Derived]
2019-09-11,1321.T,0.0,[Derived]
2019-09-12,1321.T,-0.0,[Derived]
2019-09-13,1321.T,-0.0,[Derived]
2019-09-17,1321.T,0.0,[Derived]
2019-09-18,1321.T,-0.0,[Derived]
2019-09-19,1321.T,-0.0,[Derived]
2019-09-20,1321.T,0.0,[Derived]
2019-09-24,1321.T,0.0,[Derived]
2019-09-25,1321.T,-0.0,[Derived]
2019-09-26,1321.T,-0.0,[Derived]
2019-09-27,1321.T,-0.0,[Derived]
2019-09-30,1321.T,0.0,[Derived]
2019-10-01,1321.T,0.0,[Derived]
2019-10-02,1321.T,-0.0,[Derived]
2019-10-03,1321.T,0.0,[Derived]
2019-10-04,1321.T,0.0,[Derived]
2019-10-07,1321.T,-0.0,[Derived]
2019-10-08,1321.T,-0.0,[Derived]
2019-10-09,1321.T,-0.0,[Derived]
2019-10-10,1321.T,-0.0,[Derived]
2019-10-11,1321.T,0.0,[Derived]
2019-10-15,1321.T,0.0,[Derived]
2019-10-16,1321.T,0.0,[Derived]
2019-10-17,1321.T,0.0,[Derived]
2019-10-18,1321.T,-0.0,[Derived]
2019-10-21,1321.T,-0.0,[Derived]
2019-10-23,1321.T,0.0,[Derived]
2019-10-24,1321.T,-0.0,[Derived]
2019-10-25,1321.T,0.0,[Derived]
2019-10-28,1321.T,0.0,[Derived]
2019-10-29,1321.T,-0.0,[Derived]
2019-10-30,1321.T,-0.0,[Derived]
2019-10-31,1321.T,-0.0,[Derived]
2019-11-01,1321.T,-0.0,[Derived]
2019-11-05,1321.T,-0.0,[Derived]
2019-11-06,1321.T,0.0,[Derived]
2019-11-07,1321.T,-0.0,[Derived]
2019-11-08,1321.T,0.0,[Derived]
2019-11-11,1321.T,-0.0,[Derived]
2019-11-12,1321.T,0.0,[Derived]
2019-11-13,1321.T,-0.0,[Derived]
2019-11-14,1321.T,0.0,[Derived]
2019-11-15,1321.T,-0.0,[Derived]
2019-11-18,1321.T,0.0,[Derived]
2019-11-19,1321.T,0.0,[Derived]
2019-11-20,1321.T,-0.0,[Derived]
2019-11-21,1321.T,-0.0,[Derived]
2019-11-22,1321.T,0.0,[Derived]
2019-11-25,1321.T,-0.0,[Derived]
2019-11-26,1321.T,0.0,[Derived]
2019-11-27,1321.T,-0.0,[Derived]
2019-11-28,1321.T,-0.0,[Derived]
2019-11-29,1321.T,0.0,[Derived]
2019-12-02,1321.T,0.0,[Derived]
2019-12-03,1321.T,-0.0,[Derived]
2019-12-04,1321.T,-0.0,[Derived]
2019-12-05,1321.T,-0.0,[Derived]
2019-12-06,1321.T,-0.0,[Derived]
2019-12-09,1321.T,-0.0,[Derived]
2019-12-10,1321.T,0.0,[Derived]
2019-12-11,1321.T,0.0,[Derived]
2019-12-12,1321.T,-0.0,[Derived]
2019-12-13,1321.T,-0.0,[Derived]
2019-12-16,1321.T,-0.0,[Derived]
2019-12-17,1321.T,-0.0,[Derived]
2019-12-18,1321.T,0.0,[Derived]
2019-12-19,1321.T,-0.0,[Derived]
2019-12-20,1321.T,-0.0,[Derived]
2019-12-23,1321.T,0.0,[Derived]
2019-12-24,1321.T,-0.0,[Derived]
2019-12-25,1321.T,-0.0,[Derived]
2019-12-26,1321.T,0.0,[Derived]
2019-12-27,1321.T,-0.0,[Derived]
2019-12-30,1321.T,0.0,[Derived]
2020-01-06,1321.T,0.0,[Derived]
2020-01-07,1321.T,-0.0,[Derived]
2020-01-08,1321.T,-0.0,[Derived]
2020-01-09,1321.T,-0.0,[Derived]
2020-01-10,1321.T,-0.0,[Derived]
2020-01-14,1321.T,0.0,[Derived]
2020-01-15,1321.T,0.0,[Derived]
2020-01-16,1321.T,-0.0,[Derived]
2020-01-17,1321.T,-0.0,[Derived]
2020-01-20,1321.T,0.0,[Derived]
2020-01-21,1321.T,0.0,[Derived]
2020-01-22,1321.T,-0.0,[Derived]
2020-01-23,1321.T,0.0,[Derived]
2020-01-24,1321.T,0.0,[Derived]
2020-01-27,1321.T,0.0,[Derived]
2020-01-28,1321.T,-0.0,[Derived]
2020-01-29,1321.T,0.0,[Derived]
2020-01-30,1321.T,0.0,[Derived]
2020-01-31,1321.T,0.0,[Derived]
2020-02-03,1321.T,-0.0,[Derived]
2020-02-04,1321.T,-0.0,[Derived]
2020-02-05,1321.T,0.0,[Derived]
2020-02-06,1321.T,-0.0,[Derived]
2020-02-07,1321.T,0.0,[Derived]
2020-02-10,1321.T,0.0,[Derived]
2020-02-12,1321.T,0.0,[Derived]
2020-02-13,1321.T,0.0,[Derived]
2020-02-14,1321.T,0.0,[Derived]
2020-02-17,1321.T,-0.0,[Derived]
2020-02-18,1321.T,0.0,[Derived]
2020-02-19,1321.T,-0.0,[Derived]
2020-02-20,1321.T,0.0,[Derived]
2020-02-21,1321.T,0.0,[Derived]
2020-02-25,1321.T,-0.0,[Derived]
2020-02-26,1321.T,0.0,[Derived]
2020-02-27,1321.T,0.0,[Derived]
2020-02-28,1321.T,-0.0,[Derived]
2020-03-02,1321.T,0.0,[Derived]
2020-03-03,1321.T,-0.0,[Derived]
2020-03-04,1321.T,-0.0,[Derived]
2020-03-05,1321.T,0.0,[Derived]
2020-03-06,1321.T,-0.0,[Derived]
2020-03-09,1321.T,0.0,[Derived]
2020-03-10,1321.T,-0.0,[Derived]
2020-03-11,1321.T,0.0,[Derived]
2020-03-12,1321.T,-0.0,[Derived]
2020-03-13,1321.T,-0.0,[Derived]
2020-03-16,1321.T,0.0,[Derived]
2020-03-17,1321.T,-0.0,[Derived]
2020-03-18,1321.T,-0.0,[Derived]
2020-03-19,1321.T,0.0,[Derived]
2020-03-23,1321.T,0.0,[Derived]
2020-03-24,1321.T,-0.0,[Derived]
2020-03-25,1321.T,0.0,[Derived]
2020-03-26,1321.T,0.0,[Derived]
2020-03-27,1321.T,-0.0,[Derived]
2020-03-30,1321.T,-0.0,[Derived]
2020-03-31,1321.T,0.0,[Derived]
2020-04-01,1321.T,0.0,[Derived]
2020-04-02,1321.T,-0.0,[Derived]
2020-04-03,1321.T,-0.0,[Derived]
2020-04-06,1321.T,0.0,[Derived]
2020-04-07,1321.T,0.0,[Derived]
2020-04-08,1321.T,0.0,[Derived]
2020-04-09,1321.T,0.0,[Derived]
2020-04-10,1321.T,-0.0,[Derived]
2020-04-13,1321.T,0.0,[Derived]
2020-04-14,1321.T,-0.0,[Derived]
2020-04-15,1321.T,0.0,[Derived]
2020-04-16,1321.T,-0.0,[Derived]
2020-04-17,1321.T,0.0,[Derived]
2020-04-20,1321.T,-0.0,[Derived]
2020-04-21,1321.T,0.0,[Derived]
2020-04-22,1321.T,-0.0,[Derived]
2020-04-23,1321.T,0.0,[Derived]
2020-04-24,1321.T,0.0,[Derived]
2020-04-27,1321.T,-0.0,[Derived]
2020-04-28,1321.T,-0.0,[Derived]
2020-04-30,1321.T,0.0,[Derived]
2020-05-01,1321.T,-0.0,[Derived]
2020-05-07,1321.T,-0.0,[Derived]
2020-05-08,1321.T,0.0,[Derived]
2020-05-11,1321.T,-0.0,[Derived]
2020-05-12,1321.T,0.0,[Derived]
2020-05-13,1321.T,-0.0,[Derived]
2020-05-14,1321.T,-0.0,[Derived]
2020-05-15,1321.T,-0.0,[Derived]
