Date,nikkei,topix,value_pbr,growth,reit,leveraged,usdjpy,value_spread
2019-09-01 15:00:00,19110.08203125,1524.3345947265625,,641.0,1669.8978271484375,8420.0,,
2019-09-01 23:00:00,,,,,,,106.12799835205078,
2019-09-02 15:00:00,19110.08203125,1531.24560546875,,645.0,1669.8978271484375,8420.0,,
2019-09-02 23:00:00,,,,,,,106.19300079345703,
2019-09-03 15:00:00,19155.408203125,1528.28369140625,,642.0,1670.69189453125,8455.0,,
2019-09-03 23:00:00,,,,,,,105.86100006103516,
2019-09-04 15:00:00,19545.22265625,1552.96533203125,,655.0,1759.5836181640625,8825.0,,
2019-09-04 23:00:00,,,,,,,106.32499694824219,
2019-09-05 15:00:00,19608.685546875,1556.91455078125,,650.0,1698.470458984375,8880.0,,
2019-09-05 23:00:00,,,,,,,107.0719985961914,
2019-09-08 15:00:00,19735.6015625,1569.748779296875,,653.0,1698.470458984375,8995.0,,
2019-09-08 23:00:00,,,,,,,106.94499969482422,
2019-09-09 15:00:00,19808.123046875,1578.6341552734375,,651.0,1711.1693115234375,9060.0,,
2019-09-09 23:00:00,,,,,,,107.33699798583984,
2019-09-10 15:00:00,19989.435546875,1604.302978515625,,664.0,1679.4219970703125,9225.0,,
2019-09-10 23:00:00,,,,,,,107.5999984741211,
2019-09-11 15:00:00,20179.80859375,1617.1373291015625,,657.0,1681.803466796875,9385.0,,
2019-09-11 23:00:00,,,,,,,108.02100372314453,
2019-09-12 15:00:00,20370.185546875,1631.9462890625,,651.0,1688.1524658203125,9585.0,,
2019-09-12 23:00:00,,,,,,,108.1760025024414,
2019-09-15 23:00:00,,,,,,,107.76499938964844,
2019-09-16 15:00:00,20370.185546875,1633.9210205078125,,646.0,1696.8831787109375,9580.0,,
2019-09-16 23:00:00,,,,,,,108.16100311279297,
2019-09-17 15:00:00,20342.990234375,1627.010009765625,,648.0,1696.8831787109375,9555.0,,
2019-09-17 23:00:00,,,,,,,108.08699798583984,
2019-09-18 15:00:00,20424.578125,1636.8828125,,649.0,1695.2955322265625,9640.0,,
2019-09-18 23:00:00,,,,,,,108.42500305175781,
2019-09-19 15:00:00,20433.64453125,1635.8953857421875,,656.0,1695.2955322265625,9640.0,,
2019-09-19 23:00:00,,,,,,,108.04100036621094,
2019-09-22 23:00:00,,,,,,,107.6520004272461,
2019-09-23 15:00:00,20478.970703125,1644.7808837890625,,671.0,1715.9312744140625,9690.0,,
2019-09-23 23:00:00,,,,,,,107.61399841308594,
2019-09-24 15:00:00,20397.3828125,1641.819091796875,,674.0,1726.2491455078125,9595.0,,
2019-09-24 23:00:00,,,,,,,107.16300201416016,
2019-09-25 15:00:00,20406.447265625,1640.831787109375,,673.0,1722.28076171875,9610.0,,
2019-09-25 23:00:00,,,,,,,107.69200134277344,
2019-09-26 15:00:00,20388.3125,1638.857177734375,,672.0,1748.4722900390625,9600.0,,
2019-09-26 23:00:00,,,,,,,107.75599670410156,
2019-09-29 15:00:00,20261.3984375,1622.07373046875,,668.0,1746.8846435546875,9485.0,,
2019-09-29 23:00:00,,,,,,,107.94400024414062,
2019-09-30 15:00:00,20424.578125,1639.844482421875,,668.0,1743.7098388671875,9630.0,,
2019-09-30 23:00:00,,,,,,,108.06900024414062,
2019-10-01 15:00:00,20324.859375,1632.933837890625,,669.0,1740.535888671875,9525.0,,
2019-10-01 23:00:00,,,,,,,107.73699951171875,
2019-10-02 15:00:00,19907.84375,1603.3157958984375,,658.0,1746.091064453125,9140.0,,
2019-10-02 23:00:00,,,,,,,107.16300201416016,
2019-10-03 15:00:00,19980.37109375,1608.2520751953125,,668.0,1746.8846435546875,9195.0,,
2019-10-03 23:00:00,,,,,,,106.82599639892578,
2019-10-06 15:00:00,19944.10546875,1605.2904052734375,,665.0,1765.93310546875,9155.0,,
2019-10-06 23:00:00,,,,,,,106.76399993896484,
2019-10-07 15:00:00,20161.677734375,1623.06103515625,,672.0,1761.96435546875,9355.0,,
2019-10-07 23:00:00,,,,,,,107.2509994506836,
2019-10-08 15:00:00,20025.6953125,1617.1373291015625,,665.0,1804.0299072265625,9225.0,,
2019-10-08 23:00:00,,,,,,,106.96099853515625,
2019-10-09 15:00:00,20107.287109375,1618.1246337890625,,653.0,1785.77490234375,9300.0,,
2019-10-09 23:00:00,,,,,,,107.1780014038086,
2019-10-10 15:00:00,20324.859375,1631.9462890625,,641.0,1772.2828369140625,9515.0,,
2019-10-10 23:00:00,,,,,,,107.87999725341797,
2019-10-13 23:00:00,,,,,,,108.45899963378906,
2019-10-14 15:00:00,20705.609375,1657.615234375,,647.0,1777.8382568359375,9880.0,,
2019-10-14 23:00:00,,,,,,,108.38800048828125,
2019-10-15 15:00:00,20950.375,1666.5006103515625,,641.0,1792.125,10115.0,,
2019-10-15 23:00:00,,,,,,,108.81700134277344,
2019-10-16 15:00:00,20950.375,1658.6025390625,,639.0,1788.156494140625,10105.0,,
2019-10-16 23:00:00,,,,,,,108.677001953125,
2019-10-17 15:00:00,21004.76953125,1658.6025390625,,639.0,1793.7119140625,10145.0,,
2019-10-17 23:00:00,,,,,,,108.58100128173828,
2019-10-20 15:00:00,21041.033203125,1665.5133056640625,,645.0,1809.5853271484375,10190.0,,
2019-10-20 23:00:00,,,,,,,108.40799713134766,
2019-10-21 23:00:00,,,,,,,108.60099792480469,
2019-10-22 15:00:00,21140.751953125,1675.385986328125,,655.0,1814.3470458984375,10280.0,,
2019-10-22 23:00:00,,,,,,,108.48300170898438,
2019-10-23 15:00:00,21240.474609375,1681.3096923828125,,662.0,1809.5853271484375,10380.0,,
2019-10-23 23:00:00,,,,,,,108.64199829101562,
2019-10-24 15:00:00,21267.671875,1685.2586669921875,,662.0,1800.85498046875,10415.0,,
2019-10-24 23:00:00,,,,,,,108.60600280761719,
2019-10-27 15:00:00,21331.12890625,1686.245849609375,,666.0,1788.156494140625,10470.0,,
2019-10-28 00:00:00,,,,,,,108.73400115966797,
2019-10-28 15:00:00,21439.9140625,1701.0548095703125,,667.0,1800.0615234375,10570.0,,
2019-10-29 00:00:00,,,,,,,108.96399688720703,
2019-10-29 15:00:00,21312.99609375,1705.0037841796875,,661.0,1803.2362060546875,10450.0,,
2019-10-30 00:00:00,,,,,,,108.8740005493164,
2019-10-30 15:00:00,21394.587890625,1702.0421142578125,,667.0,1810.3790283203125,10530.0,,
2019-10-31 00:00:00,,,,,,,108.78900146484375,
2019-10-31 15:00:00,21322.0625,1702.0421142578125,,665.0,1809.5853271484375,10450.0,,
2019-11-01 00:00:00,,,,,,,107.99600219726562,
2019-11-04 00:00:00,,,,,,,108.22000122070312,
2019-11-04 15:00:00,21711.880859375,1731.659912109375,,670.0,1811.966552734375,10850.0,,
2019-11-05 00:00:00,,,,,,,108.69400024414062,
2019-11-05 15:00:00,21739.076171875,1731.659912109375,,665.0,1799.2674560546875,10875.0,,
2019-11-06 00:00:00,,,,,,,109.14600372314453,
2019-11-06 15:00:00,21757.205078125,1736.596435546875,,663.0,1799.2674560546875,10880.0,,
2019-11-07 00:00:00,,,,,,,108.91300201416016,
2019-11-07 15:00:00,21811.599609375,1741.53271484375,,654.0,1746.091064453125,10955.0,,
2019-11-08 00:00:00,,,,,,,109.27400207519531,
2019-11-10 15:00:00,21766.271484375,1742.519775390625,,659.0,1742.1226806640625,10900.0,,
