date,ticker,listed_shares,creation_unit_shares,redemption_unit_shares,nav_jpy,aum_jpym,units_method,tag
2026-04-30,1321.T,258096281.0,29320,29770,61990.0,15999388.45919,[Market/JPX],[Market/JPX]
2026-05-01,1321.T,258096281.0,29320,29770,62230.0,16061331.56663,[Market/JPX],[Market/JPX]
2026-05-07,1321.T,258096281.0,29320,29770,65880.0,17003382.99228,[Market/JPX],[Market/JPX]
2026-05-08,1321.T,258096281.0,29320,29770,65600.0,16931116.0336,[Market/JPX],[Market/JPX]
2026-05-11,1321.T,258096281.0,29320,29770,65370.0,16871753.88897,[Market/JPX],[Market/JPX]
2026-05-12,1321.T,258096281.0,29320,29770,65590.0,16928535.07079,[Market/JPX],[Market/JPX]
2026-05-13,1321.T,258096281.0,29320,29770,66200.0,17085973.8022,[Market/JPX],[Market/JPX]
2026-05-14,1321.T,258096281.0,29320,29770,65610.0,16933696.99641,[Market/JPX],[Market/JPX]
2026-05-15,1321.T,258096281.0,29320,29770,64280.0,16590428.94268,[Market/JPX],[Market/JPX]
2026-05-18,1321.T,258096281.0,29320,29770,63740.0,16451056.95094,[Market/JPX],[Market/JPX]
2026-05-19,1321.T,258096281.0,29320,29770,63470.0,16381370.95507,[Market/JPX],[Market/JPX]
2026-05-20,1321.T,258096281.0,29320,29770,62720.0,16187798.74432,[Market/JPX],[Market/JPX]
2026-05-21,1321.T,258096281.0,29320,29770,64530.0,16654953.01293,[Market/JPX],[Market/JPX]
2026-05-22,1321.T,258096281.0,29320,29770,66210.0,17088554.76501,[Market/JPX],[Market/JPX]
2026-05-25,1321.T,258096281.0,29320,29770,68330.0,17635718.88073,[Market/JPX],[Market/JPX]
2026-05-26,1321.T,258096281.0,29320,29770,67960.0,17540223.25676,[Market/JPX],[Market/JPX]
2026-05-27,1321.T,258096281.0,29320,29770,68120.0,17581518.66172,[Market/JPX],[Market/JPX]
2026-05-28,1321.T,258096281.0,29320,29770,67640.0,17457632.44684,[Market/JPX],[Market/JPX]
2026-05-29,1321.T,258096281.0,29320,29770,69310.0,17888653.23611,[Market/JPX],[Market/JPX]
2026-06-01,1321.T,258096281.0,29320,29770,70020.0,18071901.59562,[Market/JPX],[Market/JPX]
2026-06-02,1321.T,258096281.0,29320,29770,69830.0,18022863.30223,[Market/JPX],[Market/JPX]
