month,jita_equity_flow_mjpy,jita_equity_net_flow_bn_jpy,jita_etf_net_flow_bn_jpy,jita_etf_flow_mjpy,tag,source,note
1989-01-31,-140049.0,-1400.49,,,[Market],https://www.toushin.or.jp/tws/toukei_dw/I0112B_pub_m.xlsx,JITA B-1 資金増減額; bn columns are 億円 (flow_mjpy/100)
1989-02-28,73317.0,733.17,,,[Market],https://www.toushin.or.jp/tws/toukei_dw/I0112B_pub_m.xlsx,JITA B-1 資金増減額; bn columns are 億円 (flow_mjpy/100)
1989-03-31,-51261.0,-512.61,,,[Market],https://www.toushin.or.jp/tws/toukei_dw/I0112B_pub_m.xlsx,JITA B-1 資金増減額; bn columns are 億円 (flow_mjpy/100)
1989-04-30,364662.0,3646.62,,,[Market],https://www.toushin.or.jp/tws/toukei_dw/I0112B_pub_m.xlsx,JITA B-1 資金増減額; bn columns are 億円 (flow_mjpy/100)
1989-05-31,189731.0,1897.31,,,[Market],https://www.toushin.or.jp/tws/toukei_dw/I0112B_pub_m.xlsx,JITA B-1 資金増減額; bn columns are 億円 (flow_mjpy/100)
1989-06-30,420408.0,4204.08,,,[Market],https://www.toushin.or.jp/tws/toukei_dw/I0112B_pub_m.xlsx,JITA B-1 資金増減額; bn columns are 億円 (flow_mjpy/100)
1989-07-31,424429.0,4244.29,,,[Market],https://www.toushin.or.jp/tws/toukei_dw/I0112B_pub_m.xlsx,JITA B-1 資金増減額; bn columns are 億円 (flow_mjpy/100)
1989-08-31,-292982.0,-2929.82,,,[Market],https://www.toushin.or.jp/tws/toukei_dw/I0112B_pub_m.xlsx,JITA B-1 資金増減額; bn columns are 億円 (flow_mjpy/100)
1989-09-30,365428.0,3654.28,,,[Market],https://www.toushin.or.jp/tws/toukei_dw/I0112B_pub_m.xlsx,JITA B-1 資金増減額; bn columns are 億円 (flow_mjpy/100)
1989-10-31,-85819.0,-858.19,,,[Market],https://www.toushin.or.jp/tws/toukei_dw/I0112B_pub_m.xlsx,JITA B-1 資金増減額; bn columns are 億円 (flow_mjpy/100)
1989-11-30,-161107.0,-1611.07,,,[Market],https://www.toushin.or.jp/tws/toukei_dw/I0112B_pub_m.xlsx,JITA B-1 資金増減額; bn columns are 億円 (flow_mjpy/100)
1989-12-31,1106519.0,11065.19,,,[Market],https://www.toushin.or.jp/tws/toukei_dw/I0112B_pub_m.xlsx,JITA B-1 資金増減額; bn columns are 億円 (flow_mjpy/100)
1990-01-31,921337.0,9213.37,,,[Market],https://www.toushin.or.jp/tws/toukei_dw/I0112B_pub_m.xlsx,JITA B-1 資金増減額; bn columns are 億円 (flow_mjpy/100)
1990-02-28,814109.0,8141.09,,,[Market],https://www.toushin.or.jp/tws/toukei_dw/I0112B_pub_m.xlsx,JITA B-1 資金増減額; bn columns are 億円 (flow_mjpy/100)
1990-03-31,-55862.0,-558.62,,,[Market],https://www.toushin.or.jp/tws/toukei_dw/I0112B_pub_m.xlsx,JITA B-1 資金増減額; bn columns are 億円 (flow_mjpy/100)
1990-04-30,-138416.0,-1384.16,,,[Market],https://www.toushin.or.jp/tws/toukei_dw/I0112B_pub_m.xlsx,JITA B-1 資金増減額; bn columns are 億円 (flow_mjpy/100)
1990-05-31,-401498.0,-4014.98,,,[Market],https://www.toushin.or.jp/tws/toukei_dw/I0112B_pub_m.xlsx,JITA B-1 資金増減額; bn columns are 億円 (flow_mjpy/100)
1990-06-30,-145156.0,-1451.56,,,[Market],https://www.toushin.or.jp/tws/toukei_dw/I0112B_pub_m.xlsx,JITA B-1 資金増減額; bn columns are 億円 (flow_mjpy/100)
1990-07-31,-303755.0,-3037.55,,,[Market],https://www.toushin.or.jp/tws/toukei_dw/I0112B_pub_m.xlsx,JITA B-1 資金増減額; bn columns are 億円 (flow_mjpy/100)
1990-08-31,-13020.0,-130.2,,,[Market],https://www.toushin.or.jp/tws/toukei_dw/I0112B_pub_m.xlsx,JITA B-1 資金増減額; bn columns are 億円 (flow_mjpy/100)
1990-09-30,-130199.0,-1301.99,,,[Market],https://www.toushin.or.jp/tws/toukei_dw/I0112B_pub_m.xlsx,JITA B-1 資金増減額; bn columns are 億円 (flow_mjpy/100)
1990-10-31,-443615.0,-4436.15,,,[Market],https://www.toushin.or.jp/tws/toukei_dw/I0112B_pub_m.xlsx,JITA B-1 資金増減額; bn columns are 億円 (flow_mjpy/100)
1990-11-30,2435.0,24.35,,,[Market],https://www.toushin.or.jp/tws/toukei_dw/I0112B_pub_m.xlsx,JITA B-1 資金増減額; bn columns are 億円 (flow_mjpy/100)
1990-12-31,130304.0,1303.04,,,[Market],https://www.toushin.or.jp/tws/toukei_dw/I0112B_pub_m.xlsx,JITA B-1 資金増減額; bn columns are 億円 (flow_mjpy/100)
1991-01-31,55490.0,554.9,,,[Market],https://www.toushin.or.jp/tws/toukei_dw/I0112B_pub_m.xlsx,JITA B-1 資金増減額; bn columns are 億円 (flow_mjpy/100)
1991-02-28,-580497.0,-5804.97,,,[Market],https://www.toushin.or.jp/tws/toukei_dw/I0112B_pub_m.xlsx,JITA B-1 資金増減額; bn columns are 億円 (flow_mjpy/100)
1991-03-31,-1318309.0,-13183.09,,,[Market],https://www.toushin.or.jp/tws/toukei_dw/I0112B_pub_m.xlsx,JITA B-1 資金増減額; bn columns are 億円 (flow_mjpy/100)
