period_end,perf_eligible_excess_ret,bucket_weighted_ret,bucket_weighted_march_ret,tag,etf_perf_basket_ret,nikkei_ret,value_factor_ret
2020-09-30,0.0,0.0,0.0,[Proxy/Derived],0.0,0.283398436021878,0.0
2021-03-31,0.076759,0.0,0.076759,[Proxy/Derived],0.0,0.2585141617893549,0.0
2021-09-30,0.0,0.0,0.0,[Proxy/Derived],0.0,0.002170584220841,0.0
2022-03-31,0.058579,0.0,0.0,[Proxy/Derived],0.0,-0.0330067882315596,0.0
2022-09-30,0.036584,0.0,0.0,[Proxy/Derived],0.0,-0.0624871955361467,0.0
2023-03-31,0.100507,0.0,0.100507,[Proxy/Derived],0.0,0.0811293680080169,0.0
2023-09-30,0.0,-0.009714,-0.009714,[Proxy/Derived],-0.009714275678968544,0.1360890583550957,0.0
2024-03-31,0.192697,0.243249,0.213888,[Proxy/Derived],0.17946382175504924,0.2671832514555579,0.0
2024-09-30,0.0,-0.036936,-0.036936,[Proxy/Derived],-0.03693644395944552,-0.0473214283085552,0.0
2025-03-31,0.003737,-0.045167,-0.063838,[Proxy/Derived],0.06451577134960629,-0.0785059663034628,0.0
2025-09-30,0.0,0.241483,0.241483,[Proxy/Derived],0.18701889665267546,0.2612851700578529,0.0
2026-03-31,0.014084,0.171251,0.008128,[Proxy/Derived],0.1476060990257009,0.1461895106171686,0.0
