period_end,half,perf_eligible_aum_jpym,nonlisted_share,etf_share
2020-09-30,H1,865300.0,0.7321160291228476,0.2678839708771524
2021-03-31,H2,996300.0,0.7885175148047777,0.2114824851952223
2021-09-30,H1,1173000.0,0.8254049445865302,0.1745950554134697
2022-03-31,H2,1351100.0,0.8414625120272371,0.1585374879727629
2022-09-30,H1,1797100.0,0.8895381190873678,0.1105175292153589
2023-03-31,H2,1276000.0,0.8404263657026413,0.1596520103456383
2023-09-30,H1,1222000.0,0.8028641571194762,0.1971358428805237
2024-03-31,H2,1307900.0,0.8010703363914373,0.1988532110091743
2024-09-30,H1,1249500.0,0.8139255702280912,0.1860744297719087
2025-03-31,H2,1297200.0,0.8088337315963925,0.1910891852308641
2025-09-30,H1,1373300.0,0.8018641229156047,0.1981358770843952
2026-03-31,H2,1335700.0,0.8019016246163061,0.1980983753836939
