period_end,etf_implied_flow_jpym,jita_equity_flow_bn,jita_etf_flow_bn,tag
2020-09-30,0.0,50068.44,39511.119999999995,[Filing/Market]
2021-03-31,0.0,38103.159999999996,19808.380000000005,[Filing/Market]
2021-09-30,0.0,57452.829999999994,12900.85,[Filing/Market]
2022-03-31,0.0,56088.329999999994,5229.300000000001,[Filing/Market]
2022-09-30,0.0,39670.44,1379.0799999999997,[Filing/Market]
2023-03-31,0.0,39993.57,945.2499999999998,[Filing/Market]
2023-09-30,0.0,47683.22,13452.36,[Filing/Market]
2024-03-31,0.0,64598.420000000006,9887.41,[Filing/Market]
2024-09-30,0.0,95634.79999999999,8131.79,[Filing/Market]
2025-03-31,0.0,85125.01999999999,5796.17,[Filing/Market]
2025-09-30,0.0,36714.4,-12976.650000000001,[Filing/Market]
2026-03-31,0.0,119490.54000000001,12358.009999999998,[Filing/Market]
