period_end,aum_total_jpym,aum_nonlisted_jpym,aum_etf_jpym,perf_eligible_aum_jpym,base_fee_aum_jpym,nonlisted_share,etf_share
2020-09-30,865300.0,633500.0,231800.0,865300.0,865300.0,0.7321160291228476,0.26788397087715243
2021-03-31,996300.0,785600.0,210700.0,996300.0,996300.0,0.7885175148047777,0.21148248519522234
2021-09-30,1173000.0,968200.0,204800.0,1173000.0,1173000.0,0.8254049445865302,0.17459505541346973
2022-03-31,1351100.0,1136900.0,214200.0,1351100.0,1351100.0,0.8414625120272371,0.15853748797276293
2022-09-30,1797000.0,1598500.0,198600.0,1797100.0,1797000.0,0.8895381190873678,0.11051752921535893
2023-03-31,1275900.0,1072300.0,203700.0,1276000.0,1275900.0,0.8404263657026413,0.15965201034563836
2023-09-30,1222000.0,981100.0,240900.0,1222000.0,1222000.0,0.8028641571194762,0.19713584288052374
2024-03-31,1308000.0,1047800.0,260100.0,1307900.0,1308000.0,0.8010703363914373,0.1988532110091743
2024-09-30,1249500.0,1017000.0,232500.0,1249500.0,1249500.0,0.8139255702280912,0.18607442977190877
2025-03-31,1297300.0,1049300.0,247900.0,1297200.0,1297300.0,0.8088337315963925,0.1910891852308641
2025-09-30,1373300.0,1101200.0,272100.0,1373300.0,1373300.0,0.8018641229156047,0.19813587708439526
2026-03-31,1335700.0,1071100.0,264600.0,1335700.0,1335700.0,0.8019016246163061,0.19809837538369393
