period_end,half,perf_fee_m,eligible_aum_jpym,avg_perf_rate_assumed,crystallization_weight,implied_excess_ret,tag
2024-09-30,H1,1996.0,1249500.0,0.1411,0.35,0.032343,[Derived/Filing]
2025-09-30,H1,1713.0,1373300.0,0.1411,0.35,0.025255,[Derived/Filing]
