2026-07-10T10:30:10.347508 Starting download for WDAY
2026-07-10T18:12:33.374611 OK 28,942 bytes -> /workspace/WDAY/investor-documents/sec-edgar/8-K_20260224_rpt20260224_acc0001327811_26_000010.htm
2026-07-10T18:12:33.544682 OK 36,798 bytes -> /workspace/WDAY/investor-documents/sec-edgar/8-K_20260209_rpt20260206_acc0001327811_26_000007.htm
2026-07-10T18:12:33.713105 OK 31,309 bytes -> /workspace/WDAY/investor-documents/sec-edgar/8-K_20260204_rpt20260130_acc0001327811_26_000004.htm
2026-07-10T18:12:33.881751 OK 28,906 bytes -> /workspace/WDAY/investor-documents/sec-edgar/8-K_20251125_rpt20251125_acc0001327811_25_000196.htm
2026-07-10T18:12:34.054994 OK 28,015 bytes -> /workspace/WDAY/investor-documents/sec-edgar/8-K_20250917_rpt20250916_acc0001327811_25_000190.htm
2026-07-10T18:12:34.255674 OK 32,323 bytes -> /workspace/WDAY/investor-documents/sec-edgar/8-K_20250916_rpt20250915_acc0001327811_25_000187.htm
2026-07-10T18:12:34.426004 OK 30,921 bytes -> /workspace/WDAY/investor-documents/sec-edgar/8-K_20250821_rpt20250821_acc0001327811_25_000182.htm
2026-07-10T18:12:34.594121 OK 28,896 bytes -> /workspace/WDAY/investor-documents/sec-edgar/8-K_20250821_rpt20250821_acc0001327811_25_000181.htm
2026-07-10T18:12:34.766124 OK 41,416 bytes -> /workspace/WDAY/investor-documents/sec-edgar/8-K_20250609_rpt20250604_acc0001327811_25_000139.htm
2026-07-10T18:12:34.935343 OK 30,769 bytes -> /workspace/WDAY/investor-documents/sec-edgar/8-K_20250522_rpt20250522_acc0001327811_25_000105.htm
2026-07-10T18:12:35.105721 OK 34,810 bytes -> /workspace/WDAY/investor-documents/sec-edgar/8-K_20250225_rpt20250220_acc0001327811_25_000041.htm
2026-07-10T18:12:35.275507 OK 29,259 bytes -> /workspace/WDAY/investor-documents/sec-edgar/8-K_20250225_rpt20250225_acc0001327811_25_000040.htm
2026-07-10T18:12:35.445896 OK 35,955 bytes -> /workspace/WDAY/investor-documents/sec-edgar/8-K_20250205_rpt20250205_acc0001327811_25_000030.htm
2026-07-10T18:12:35.630359 OK 31,089 bytes -> /workspace/WDAY/investor-documents/sec-edgar/8-K_20241203_rpt20241203_acc0001327811_24_000238.htm
2026-07-10T18:12:35.801297 OK 36,892 bytes -> /workspace/WDAY/investor-documents/sec-edgar/8-K_20241126_rpt20241125_acc0001327811_24_000234.htm
2026-07-10T18:12:35.970971 OK 30,000 bytes -> /workspace/WDAY/investor-documents/sec-edgar/8-K_20241126_rpt20241126_acc0001327811_24_000233.htm
2026-07-10T18:12:36.140320 OK 31,174 bytes -> /workspace/WDAY/investor-documents/sec-edgar/8-K_20241001_rpt20240925_acc0001327811_24_000198.htm
2026-07-10T18:12:36.513726 OK 30,746 bytes -> /workspace/WDAY/investor-documents/sec-edgar/8-K_20240910_rpt20240910_acc0001327811_24_000185.htm
2026-07-10T18:12:36.690820 OK 32,517 bytes -> /workspace/WDAY/investor-documents/sec-edgar/8-K_20240822_rpt20240822_acc0001327811_24_000163.htm
