as_of,nav_jpy,aum_jpym,month_ret,source
2015-01-31,17918.0,18325.0,,yahoo_finance_jp:9D311082
2015-02-28,18076.0,18480.0,0.008817948431744549,yahoo_finance_jp:9D311082
2015-03-31,18937.0,19361.0,0.047632219517592445,yahoo_finance_jp:9D311082
2015-04-30,18992.0,19405.0,0.0029043671120030368,yahoo_finance_jp:9D311082
2015-05-31,19333.0,19754.0,0.017954928390901514,yahoo_finance_jp:9D311082
2015-06-30,19201.0,19619.0,-0.006827703925929796,yahoo_finance_jp:9D311082
2015-07-31,18926.0,19294.0,-0.014322170720274974,yahoo_finance_jp:9D311082
2015-08-31,18482.0,18842.0,-0.023459790764028265,yahoo_finance_jp:9D311082
2015-09-30,17874.0,18195.0,-0.03289687263283192,yahoo_finance_jp:9D311082
2015-10-31,18953.0,19293.0,0.06036701353921892,yahoo_finance_jp:9D311082
2015-11-30,19696.0,20050.0,0.039202237112858196,yahoo_finance_jp:9D311082
2015-12-31,20114.0,20462.0,0.02122258326563764,yahoo_finance_jp:9D311082
2016-01-31,19050.0,17391.0,-0.05289847867157205,yahoo_finance_jp:9D311082
2016-02-29,17382.0,14999.0,-0.08755905511811024,yahoo_finance_jp:9D311082
2016-03-31,18123.0,15638.0,0.042630307214359675,yahoo_finance_jp:9D311082
2016-04-30,17604.0,15196.0,-0.028637642774375083,yahoo_finance_jp:9D311082
2016-05-31,17614.0,15205.0,0.0005680527152920334,yahoo_finance_jp:9D311082
2016-06-30,16283.0,14012.0,-0.07556489156352897,yahoo_finance_jp:9D311082
2016-07-31,16758.0,14410.0,0.029171528588098017,yahoo_finance_jp:9D311082
2016-08-31,16165.0,13900.0,-0.03538608425826473,yahoo_finance_jp:9D311082
2016-09-30,16212.0,13940.0,0.0029075162387874887,yahoo_finance_jp:9D311082
2016-10-31,17086.0,14692.0,0.05391068344436212,yahoo_finance_jp:9D311082
2016-11-30,17950.0,15434.0,0.05056771625892553,yahoo_finance_jp:9D311082
2016-12-31,19008.0,16344.0,0.05894150417827304,yahoo_finance_jp:9D311082
2017-01-31,18644.0,16031.0,-0.01914983164983164,yahoo_finance_jp:9D311082
2017-02-28,19448.0,16722.0,0.04312379317742976,yahoo_finance_jp:9D311082
2017-03-31,19405.0,16673.0,-0.002211024269847761,yahoo_finance_jp:9D311082
2017-04-30,19207.0,16502.0,-0.010203555784591645,yahoo_finance_jp:9D311082
2017-05-31,19839.0,17045.0,0.032904670172333006,yahoo_finance_jp:9D311082
2017-06-30,20737.0,17804.0,0.04526437824487117,yahoo_finance_jp:9D311082
2017-07-31,21057.0,18018.0,0.015431354583594459,yahoo_finance_jp:9D311082
2017-08-31,21446.0,16517.0,0.018473666714156733,yahoo_finance_jp:9D311082
2017-09-30,22266.0,17149.0,0.038235568404364484,yahoo_finance_jp:9D311082
2017-10-31,23222.0,17885.0,0.04293541722806071,yahoo_finance_jp:9D311082
2017-11-30,23247.0,17904.0,0.0010765653259838803,yahoo_finance_jp:9D311082
2017-12-31,24170.0,16754.0,0.039704047834129064,yahoo_finance_jp:9D311082
2018-01-31,24363.0,16887.0,0.007985105502689382,yahoo_finance_jp:9D311082
2018-02-28,23377.0,16204.0,-0.040471206337478915,yahoo_finance_jp:9D311082
2018-03-31,22970.0,15922.0,-0.01741027505667969,yahoo_finance_jp:9D311082
2018-04-30,23179.0,16067.0,0.00909882455376576,yahoo_finance_jp:9D311082
2018-05-31,22849.0,15830.0,-0.014237024893222316,yahoo_finance_jp:9D311082
2018-06-30,23237.0,16099.0,0.016981049498884015,yahoo_finance_jp:9D311082
2018-07-31,23351.0,16178.0,0.004905968928863524,yahoo_finance_jp:9D311082
2018-08-31,23350.0,16177.0,-4.282471842742552e-05,yahoo_finance_jp:9D311082
2018-09-30,23500.0,16281.0,0.0064239828693790635,yahoo_finance_jp:9D311082
2018-10-31,23036.0,15960.0,-0.019744680851063845,yahoo_finance_jp:9D311082
2018-11-30,23298.0,16141.0,0.011373502344157016,yahoo_finance_jp:9D311082
2018-12-31,22222.0,15395.0,-0.046184221821615634,yahoo_finance_jp:9D311082
2019-01-31,22967.0,15912.0,0.03352533525335244,yahoo_finance_jp:9D311082
2019-02-28,23362.0,16186.0,0.017198589280271737,yahoo_finance_jp:9D311082
2019-03-31,23653.0,16387.0,0.012456125331735235,yahoo_finance_jp:9D311082
2019-04-30,23776.0,16472.0,0.005200186022914721,yahoo_finance_jp:9D311082
2019-05-31,22984.0,15920.0,-0.03331090174966356,yahoo_finance_jp:9D311082
2019-06-30,23319.0,16153.0,0.01457535676992694,yahoo_finance_jp:9D311082
2019-07-31,23722.0,16432.0,0.017282044684592046,yahoo_finance_jp:9D311082
2019-08-31,23430.0,16230.0,-0.012309248798583639,yahoo_finance_jp:9D311082
2019-09-30,24164.0,16738.0,0.03132735808792142,yahoo_finance_jp:9D311082
2019-10-31,25019.0,17330.0,0.03538321469955297,yahoo_finance_jp:9D311082
2019-11-30,25661.0,17775.0,0.025660498021503608,yahoo_finance_jp:9D311082
2019-12-31,26750.0,18506.0,0.04243794084408248,yahoo_finance_jp:9D311082
