date,monthly_return
2008-06-01,0.00884565
2008-07-01,-0.00122500
2008-08-01,0.00913115
2008-09-01,0.00491997
2008-10-01,-0.00620234
2008-11-01,0.04780462
2008-12-01,0.04550773
2009-01-01,-0.04356926
2009-02-01,-0.00510662
2009-03-01,0.01349098
2009-04-01,-0.02317322
2009-05-01,-0.01231652
2009-06-01,0.00250352
2009-07-01,0.00192022
2009-08-01,0.00743589
2009-09-01,0.00819431
2009-10-01,-0.00872043
2009-11-01,0.00404282
2009-12-01,-0.02115190
2010-01-01,0.00897387
2010-02-01,-0.00114171
2010-03-01,-0.00685790
2010-04-01,0.01107296
2010-05-01,0.01702792
2010-06-01,0.01932618
2010-07-01,-0.00315444
2010-08-01,0.02796914
2010-09-01,-0.00840084
2010-10-01,-0.01489754
2010-11-01,-0.00563111
2010-12-01,-0.01233011
2011-01-01,-0.01027050
2011-02-01,0.00550048
2011-03-01,0.00009782
2011-04-01,0.00779700
2011-05-01,0.01140921
2011-06-01,-0.00774344
2011-07-01,0.01471514
2011-08-01,0.03222505
2011-09-01,0.04402058
2011-10-01,-0.01276421
2011-11-01,0.00663040
2011-12-01,0.01148271
2012-01-01,-0.00109964
2012-02-01,-0.00865673
2012-03-01,-0.01411998
2012-04-01,0.01611432
2012-05-01,0.03008449
2012-06-01,-0.00559404
2012-07-01,0.01272441
2012-08-01,-0.00439645
2012-09-01,-0.00844271
2012-10-01,-0.00161335
2012-11-01,0.00386393
2012-12-01,-0.00829225
2013-01-01,-0.01061787
2013-02-01,0.00412920
2013-03-01,-0.00139821
2013-04-01,0.01561649
2013-05-01,-0.02253668
2013-06-01,-0.01090425
2013-07-01,-0.00752672
2013-08-01,-0.00446790
2013-09-01,0.00217264
2013-10-01,0.00476818
2013-11-01,-0.00901063
2013-12-01,-0.00623256
2014-01-01,0.02100909
2014-02-01,0.00174698
2014-03-01,0.00244068
2014-04-01,0.00698399
2014-05-01,0.00983163
2014-06-01,-0.00083765
2014-07-01,0.00221373
2014-08-01,0.01574598
2014-09-01,-0.00704109
2014-10-01,0.00939545
2014-11-01,0.00989126
2014-12-01,0.01083769
2015-01-01,0.03271934
2015-02-01,-0.02046125
2015-03-01,0.00364076
2015-04-01,-0.01141734
2015-05-01,-0.00790807
2015-06-01,-0.01357323
2015-07-01,0.01515313
2015-08-01,-0.00229832
2015-09-01,0.00655623
2015-10-01,-0.00136259
2015-11-01,-0.00289237
2015-12-01,-0.00099060
2016-01-01,0.01857700
2016-02-01,0.01028658
2016-03-01,-0.00031116
2016-04-01,-0.00245519
2016-05-01,0.00268499
2016-06-01,0.02311396
2016-07-01,0.00700820
2016-08-01,-0.00337805
2016-09-01,-0.00502814
2016-10-01,-0.01460211
2016-11-01,-0.02737926
2016-12-01,-0.00154185
2017-01-01,0.00271397
2017-02-01,0.00528215
2017-03-01,-0.00218375
2017-04-01,0.00524407
2017-05-01,0.00629303
2017-06-01,0.00263955
2017-07-01,-0.00219458
2017-08-01,0.01136236
2017-09-01,-0.00774302
2017-10-01,-0.00012850
2017-11-01,0.00247724
2017-12-01,0.00604196
2018-01-01,-0.01085180
2018-02-01,-0.01013813
2018-03-01,0.00953215
2018-04-01,-0.00696042
2018-05-01,0.00668145
2018-06-01,0.00215263
2018-07-01,-0.00478959
2018-08-01,0.00437328
2018-09-01,-0.00954753
2018-10-01,-0.00976840
2018-11-01,0.00595725
2018-12-01,0.01951173
2019-01-01,0.00126172
2019-02-01,-0.00458778
2019-03-01,0.01857214
2019-04-01,-0.00663698
2019-05-01,0.02279742
2019-06-01,0.00316703
2019-07-01,0.00085528
2019-08-01,0.03683010
2019-09-01,-0.00893297
2019-10-01,-0.00371063
2019-11-01,-0.00135705
2019-12-01,-0.01065840
2020-01-01,0.02563726
2020-02-01,0.02208825
2020-03-01,0.02125560
2020-04-01,0.00406311
2020-05-01,-0.00587292
2020-06-01,0.00112229
2020-07-01,0.01478372
2020-08-01,-0.01682187
2020-09-01,0.00257795
2020-10-01,-0.01128391
2020-11-01,0.00554626
2020-12-01,-0.00409222
2021-01-01,-0.01210917
2021-02-01,-0.01910991
2021-03-01,-0.01748424
2021-04-01,0.00831696
2021-05-01,0.00000740
2021-06-01,0.01473021
2021-07-01,0.01238869
2021-08-01,-0.00113386
2021-09-01,-0.00968992
2021-10-01,0.00821672
2021-11-01,0.00923824
2021-12-01,-0.00671262
2022-01-01,-0.01304640
2022-02-01,-0.00544328
2022-03-01,-0.01814791
2022-04-01,-0.03141292
2022-05-01,-0.00751104
2022-06-01,-0.00424845
2022-07-01,0.00810334
