date,monthly_return
2021-07-01,-0.00227175
2021-08-01,0.00284608
2021-09-01,-0.00681120
2021-10-01,-0.00640070
2021-11-01,-0.01483954
2021-12-01,0.01599723
2022-01-01,-0.02654873
2022-02-01,-0.01216055
2022-03-01,-0.01649333
2022-04-01,-0.04569209
2022-05-01,0.01235198
2022-06-01,-0.07408804
2022-07-01,0.06221983
2022-08-01,-0.04680910
2022-09-01,-0.04213068
2022-10-01,0.02857544
2022-11-01,0.03036910
2022-12-01,-0.02683064
2023-01-01,0.03666990
2023-02-01,-0.02358186
2023-03-01,0.01368582
2023-04-01,-0.00251492
2023-05-01,-0.01658705
2023-06-01,0.01295370
2023-07-01,0.00572799
2023-08-01,-0.00291392
2023-09-01,-0.02072260
2023-10-01,-0.01559959
2023-11-01,0.04326856
2023-12-01,0.02218994
2024-01-01,0.00116299
2024-02-01,-0.00193600
2024-03-01,0.00517266
2024-04-01,-0.01852570
2024-05-01,0.01101057
2024-06-01,0.00012968
2024-07-01,0.01814884
2024-08-01,0.01018583
2024-09-01,0.01209991
2024-10-01,-0.01444587
2024-11-01,0.01137227
2024-12-01,-0.01736631
2025-01-01,0.01360457
2025-02-01,0.00514295
2025-03-01,-0.01547483
2025-04-01,-0.00367602
2025-05-01,0.01234098
2025-06-01,0.01357298
2025-07-01,-0.00334785
2025-08-01,0.00597168
2025-09-01,0.00408115
2025-10-01,-0.00480354
2025-11-01,0.00235142
2025-12-01,-0.00444500
2026-01-01,0.00607721
2026-02-01,-0.00493099
2026-03-01,-0.01437071
2026-04-01,0.01030668
2026-05-01,-0.00087086
2026-06-01,-0.01095751
