date,monthly_return
2010-03-01,0.02570306
2010-04-01,0.00747500
2010-05-01,-0.02464122
2010-06-01,-0.01991880
2010-07-01,0.02419399
2010-08-01,-0.01709957
2010-09-01,0.04390956
2010-10-01,0.02112619
2010-11-01,-0.00057485
2010-12-01,0.01585691
2011-01-01,0.00942601
2011-02-01,0.01053563
2011-03-01,-0.00149421
2011-04-01,0.00957686
2011-05-01,-0.00406219
2011-06-01,-0.00675171
2011-07-01,0.00555072
2011-08-01,-0.01689664
2011-09-01,-0.01496935
2011-10-01,0.03467325
2011-11-01,-0.00897324
2011-12-01,-0.00204737
2012-01-01,0.02806147
2012-02-01,0.02136680
2012-03-01,0.01684350
2012-04-01,-0.00389837
2012-05-01,-0.02346706
2012-06-01,0.01207140
2012-07-01,0.00332504
2012-08-01,0.01728407
2012-09-01,0.00296125
2012-10-01,-0.01759757
2012-11-01,0.00436246
2012-12-01,-0.00155657
2013-01-01,0.00890528
2013-02-01,0.00114651
2013-03-01,0.01008252
2013-04-01,0.00845777
2013-05-01,0.01192476
2013-06-01,-0.00798410
2013-07-01,0.02104680
2013-08-01,-0.00131979
2013-09-01,0.01610724
2013-10-01,0.01652294
2013-11-01,0.01183725
2013-12-01,0.00975704
2014-01-01,-0.00640448
2014-02-01,0.01717481
2014-03-01,-0.00911182
2014-04-01,-0.00106476
2014-05-01,0.01495223
2014-06-01,0.01041273
2014-07-01,0.00393981
2014-08-01,0.01669830
2014-09-01,-0.00252215
2014-10-01,0.00880667
2014-11-01,0.01515440
2014-12-01,-0.00746870
2015-01-01,-0.00694122
2015-02-01,0.02406877
2015-03-01,-0.00786332
2015-04-01,0.00640780
2015-05-01,0.00749489
2015-06-01,-0.00828030
2015-07-01,0.01519251
2015-08-01,-0.02274825
2015-09-01,-0.00735763
2015-10-01,0.03789960
2015-11-01,0.00202950
2015-12-01,-0.00531590
2016-01-01,-0.02303471
2016-02-01,-0.00521783
2016-03-01,0.02284194
2016-04-01,-0.01062269
2016-05-01,0.01456682
2016-06-01,-0.00759345
2016-07-01,0.02383615
2016-08-01,0.00350024
2016-09-01,0.00737847
2016-10-01,-0.00485743
2016-11-01,0.00145311
2016-12-01,0.00377417
2017-01-01,0.01713363
2017-02-01,0.01458359
2017-03-01,0.00675629
2017-04-01,0.00908990
2017-05-01,0.01299121
2017-06-01,-0.00772667
2017-07-01,0.01353770
2017-08-01,0.00691207
2017-09-01,-0.00098414
2017-10-01,0.01535465
2017-11-01,0.00657247
2017-12-01,0.00201035
2018-01-01,0.02919028
2018-02-01,-0.00430934
2018-03-01,-0.01359611
2018-04-01,0.00168618
2018-05-01,0.01890963
2018-06-01,0.00381701
2018-07-01,0.00932112
2018-08-01,0.01926901
2018-09-01,-0.00093883
2018-10-01,-0.02865231
2018-11-01,-0.00088337
2018-12-01,-0.02886900
2019-01-01,0.03003573
2019-02-01,0.00997071
2019-03-01,0.01308206
2019-04-01,0.01833076
2019-05-01,-0.02741728
2019-06-01,0.02530024
2019-07-01,0.00778259
2019-08-01,-0.00633176
2019-09-01,0.00305962
2019-10-01,0.01460015
2019-11-01,0.01356485
2019-12-01,0.01295451
2020-01-01,0.01012807
2020-02-01,-0.02019140
2020-03-01,-0.02428616
2020-04-01,0.04991254
2020-05-01,0.02200292
2020-06-01,0.02095554
2020-07-01,0.02448843
2020-08-01,0.03648255
2020-09-01,-0.01926210
2020-10-01,-0.01014978
2020-11-01,0.03741927
2020-12-01,0.01634132
2021-01-01,0.00087137
2021-02-01,-0.00044511
2021-03-01,0.00572250
2021-04-01,0.01969952
2021-05-01,-0.00400409
2021-06-01,0.02087376
2021-07-01,0.00953643
2021-08-01,0.01406229
2021-09-01,-0.01894381
2021-10-01,0.02621322
2021-11-01,0.00665618
2021-12-01,0.00384110
2022-01-01,-0.02915673
2022-02-01,-0.01491989
2022-03-01,0.01555960
2022-04-01,-0.04531910
2022-05-01,-0.00528869
2022-06-01,-0.02969290
2022-07-01,0.04183912
2022-08-01,-0.01710731
2022-09-01,-0.03511844
2022-10-01,0.01333280
2022-11-01,0.01848054
2022-12-01,-0.03004556
2023-01-01,0.03547650
2023-02-01,-0.00119936
2023-03-01,0.03164239
2023-04-01,0.00169300
2023-05-01,0.02627935
2023-06-01,0.02101284
2023-07-01,0.01286706
2023-08-01,-0.00494339
2023-09-01,-0.01693289
2023-10-01,-0.00688490
2023-11-01,0.03606267
2023-12-01,0.01862324
2024-01-01,0.00606401
2024-02-01,0.01761120
2024-03-01,0.00424991
2024-04-01,-0.01457928
2024-05-01,0.02050605
2024-06-01,0.02156711
2024-07-01,-0.00559371
2024-08-01,0.00367956
2024-09-01,0.00873868
2024-10-01,-0.00288213
2024-11-01,0.01783610
2024-12-01,0.00151345
2025-01-01,0.00721132
2025-02-01,-0.00901158
2025-03-01,-0.02528727
2025-04-01,0.00465606
2025-05-01,0.03059431
2025-06-01,0.02128615
2025-07-01,0.00807895
2025-08-01,0.00317992
2025-09-01,0.01792072
2025-10-01,0.01593461
2025-11-01,-0.00520343
2025-12-01,-0.00223311
2026-01-01,0.00410216
2026-02-01,-0.00781514
2026-03-01,-0.01612750
2026-04-01,0.05230026
2026-05-01,0.03522829
2026-06-01,0.00200006
