2026-07-09T20:33:30.220104 Starting download for BX
2026-07-09T20:33:41.507464 OK 609,179 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\BX\investor-documents\sec-edgar\424B5_20251028_rpt_acc0001193125_25_252423.htm
2026-07-09T20:33:41.752832 OK 611,871 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\BX\investor-documents\sec-edgar\424B5_20241204_rpt_acc0001193125_24_270178.htm
2026-07-09T20:33:42.015585 OK 598,745 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\BX\investor-documents\sec-edgar\424B5_20241202_rpt_acc0001193125_24_268447.htm
2026-07-09T20:33:42.202845 OK 25,067 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\BX\investor-documents\sec-edgar\8-K_20260623_rpt20260623_acc0001193125_26_279498.htm
2026-07-09T20:33:42.406248 OK 24,423 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\BX\investor-documents\sec-edgar\8-K_20260423_rpt20260423_acc0001193125_26_171788.htm
2026-07-09T20:33:42.643946 OK 24,835 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\BX\investor-documents\sec-edgar\8-K_20260324_rpt20260324_acc0001193125_26_121857.htm
2026-07-09T20:33:42.974240 OK 24,425 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\BX\investor-documents\sec-edgar\8-K_20260129_rpt20260129_acc0001193125_26_028145.htm
2026-07-09T20:33:43.264791 OK 41,227 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\BX\investor-documents\sec-edgar\8-K_20251103_rpt20251028_acc0001193125_25_262626.htm
2026-07-09T20:33:43.562112 OK 26,226 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\BX\investor-documents\sec-edgar\8-K_20251028_rpt20251028_acc0001193125_25_253885.htm
2026-07-09T20:33:43.863910 OK 25,189 bytes -> C:\Users\drewg\Projects\dashboards\single-stock-investments\BX\investor-documents\sec-edgar\8-K_20251028_rpt20251028_acc0001193125_25_252448.htm
