TemporaryEquityCarryingAmountAttributableToParent: &#8212;
RetainedEarningsAccumulatedDeficit: 481,055
RetainedEarningsAccumulatedDeficit: 249,990
StockholdersEquity: 497,688
StockholdersEquity: 124,830
LiabilitiesAndStockholdersEquity: 1,870,090
LiabilitiesAndStockholdersEquity: 762,867
RevenueFromContractWithCustomerExcludingAssessedTax: 142,267
RevenueFromContractWithCustomerExcludingAssessedTax: 121,857
RevenueFromContractWithCustomerExcludingAssessedTax: 40,984
RevenueFromContractWithCustomerExcludingAssessedTax: 1,926
RevenueFromContractWithCustomerExcludingAssessedTax: 14,761
RevenueFromContractWithCustomerExcludingAssessedTax: 14,408
RevenueFromContractWithCustomerExcludingAssessedTax: 144,193
RevenueFromContractWithCustomerExcludingAssessedTax: 136,618
RevenueFromContractWithCustomerExcludingAssessedTax: 55,392
CostOfRevenue: 101,451
CostOfRevenue: 106,653
CostOfRevenue: 44,388
GainLossOnDispositionOfAssets1: 1,138
GainLossOnDispositionOfAssets1: &#8212;
GainLossOnDispositionOfAssets1: &#8212;
OperatingIncomeLoss: 16,845
OperatingIncomeLoss: 32,852
OperatingIncomeLoss: 42,911
GainLossOnConversionOfDebt: 33,612
GainLossOnConversionOfDebt: &#8212;
GainLossOnConversionOfDebt: &#8212;
DebtFairValueAdjustment: 85,439
DebtFairValueAdjustment: 7,401
DebtFairValueAdjustment: &#8212;
RelatedPartyDebtFairValueAdjustment: &#8212;
RelatedPartyDebtFairValueAdjustment: 8,116
RelatedPartyDebtFairValueAdjustment: &#8212;
GainsLossesOnExtinguishmentOfDebt: 1,177
GainsLossesOnExtinguishmentOfDebt: &#8212;
GainsLossesOnExtinguishmentOfDebt: 94
GainsLossesOnExtinguishmentOfDebt: &#8212;
GainsLossesOnExtinguishmentOfDebt: 2,507
GainsLossesOnExtinguishmentOfDebt: &#8212;
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest: 158,233
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest: 74,280
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest: 45,011
IncomeTaxExpenseBenefit: 102
IncomeTaxExpenseBenefit: 96
IncomeTaxExpenseBenefit: 523
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest: 158,335
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest: 74,376
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest: 44,488
IncomeLossFromDiscontinuedOperationsNetOfTax: 72,730
IncomeLossFromDiscontinuedOperationsNetOfTax: 75,295
IncomeLossFromDiscontinuedOperationsNetOfTax: 1,118
NetIncomeLossAttributableToNoncontrollingInterest: &#8212;
NetIncomeLossAttributableToNoncontrollingInterest: 397
NetIncomeLossAttributableToNoncontrollingInterest: 960
PreferredStockDividendsIncomeStatementImpact: 2,615
PreferredStockDividendsIncomeStatementImpact: &#8212;
PreferredStockDividendsIncomeStatementImpact: &#8212;
NetIncomeLossAvailableToCommonStockholdersBasic: 233,680
NetIncomeLossAvailableToCommonStockholdersBasic: 149,274
NetIncomeLossAvailableToCommonStockholdersBasic: 44,646
IncomeLossFromContinuingOperations: 160,950
IncomeLossFromContinuingOperations: 73,979
IncomeLossFromContinuingOperations: 43,528
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity: 72,730
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity: 75,295
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity: 1,118
NetIncomeLossAvailableToCommonStockholdersBasic: 233,680
NetIncomeLossAvailableToCommonStockholdersBasic: 149,274
NetIncomeLossAvailableToCommonStockholdersBasic: 44,646
IncomeLossFromContinuingOperationsPerDilutedShare: 0.80
IncomeLossFromContinuingOperationsPerBasicShare: 0.65
IncomeLossFromContinuingOperationsPerDilutedShare: 0.46
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare: 0.36
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare: 0.66
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare: 0.01
EarningsPerShareDiluted: 1.16
EarningsPerShareDiluted: 1.31
EarningsPerShareDiluted: 0.47
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 98
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 62
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 128,293
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 56,070
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 72,259
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 6,976
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 79,235
NoncontrollingInterestIncreaseFromSubsidiaryEquityIssuance: 4,146
NoncontrollingInterestIncreaseFromSubsidiaryEquityIssuance: 4,146
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 101
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 62
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 160,194
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 100,716
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 59,517
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 10,162
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 69,679
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 144
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 62
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 374,738
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 249,990
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 124,830
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: &#8212;
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 124,830
TemporaryEquitySharesOutstanding: &#8212;
TemporaryEquityCarryingAmountAttributableToParent: &#8212;
TemporaryEquitySharesOutstanding: &#8212;
TemporaryEquityCarryingAmountAttributableToParent: &#8212;
TemporaryEquitySharesOutstanding: &#8212;
TemporaryEquityCarryingAmountAttributableToParent: &#8212;
TemporaryEquitySharesOutstanding: &#8212;
TemporaryEquityCarryingAmountAttributableToParent: &#8212;
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 144
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 62
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 374,738
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 249,990
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 124,830
TemporaryEquityStockIssuedDuringPeriodSharesNewIssues: 301,673
TemporaryEquityStockIssuedDuringPeriodValueNewIssues: 6,932
TemporaryEquityStockIssuedDuringPeriodSharesNewIssues: 53,191
TemporaryEquityStockIssuedDuringPeriodValueNewIssues: 48,350
TemporaryEquityStockIssuedDuringPeriodSharesNewIssues: 62,500
TemporaryEquityStockIssuedDuringPeriodValueNewIssues: 57,026
TemporaryEquityStockIssuedDuringPeriodSharesNewIssues: 78,000
TemporaryEquityStockIssuedDuringPeriodValueNewIssues: 72,094
TemporaryEquityConversionOfStockSharesIssued: 53,191
TemporaryEquityConversionOfStockAmountIssued: 48,350
TemporaryEquityRedemptionOfPreferredStockShares: 15
TemporaryEquityRedemptionOfPreferredStockValue: 15
AdjustmentsToAdditionalPaidInCapitalReclassOfDebtConversionOption: 252,900
AdjustmentsToAdditionalPaidInCapitalReclassOfDebtConversionOption: 252,900
TemporaryEquitySharesOutstanding: 301,673
TemporaryEquityCarryingAmountAttributableToParent: 6,932
TemporaryEquitySharesOutstanding: &#8212;
TemporaryEquityCarryingAmountAttributableToParent: &#8212;
TemporaryEquitySharesOutstanding: 62,485
TemporaryEquityCarryingAmountAttributableToParent: 57,011
TemporaryEquitySharesOutstanding: 78,000
TemporaryEquityCarryingAmountAttributableToParent: 72,094
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 230
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 31,400
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 1,009,913
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 481,055
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 497,688
OperatingLeaseExpense: 31,661
OperatingLeaseExpense: 13,944
OperatingLeaseExpense: &#8212;
DeferredIncomeTaxExpenseBenefit: &#8212;
DeferredIncomeTaxExpenseBenefit: &#8212;
DeferredIncomeTaxExpenseBenefit: 540
GainsLossesOnExtinguishmentOfDebt: 1,177
GainsLossesOnExtinguishmentOfDebt: &#8212;
GainsLossesOnExtinguishmentOfDebt: 94
GainsLossesOnExtinguishmentOfDebt: &#8212;
GainsLossesOnExtinguishmentOfDebt: 2,507
GainsLossesOnExtinguishmentOfDebt: &#8212;
DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax: 24,616
DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax: 15,417
DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax: &#8212;
GainLossOnConversionOfDebt: 33,612
GainLossOnConversionOfDebt: &#8212;
GainLossOnConversionOfDebt: &#8212;
DebtFairValueAdjustment: 85,439
DebtFairValueAdjustment: 7,401
