2026-07-10T10:30:20.041885 Starting download for XEL
2026-07-10T17:32:51.839671 OK 48,311 bytes -> /workspace/XEL/investor-documents/sec-edgar/8-K_20260501_rpt20260501_acc0001193125_26_201734.htm
2026-07-10T17:32:52.116339 OK 66,935 bytes -> /workspace/XEL/investor-documents/sec-edgar/8-K_20260430_rpt20260430_acc0000072903_26_000070.htm
2026-07-10T17:32:52.295223 OK 28,561 bytes -> /workspace/XEL/investor-documents/sec-edgar/8-K_20260303_rpt20260303_acc0001193125_26_087393.htm
2026-07-10T17:32:52.491043 OK 67,512 bytes -> /workspace/XEL/investor-documents/sec-edgar/8-K_20260205_rpt20260205_acc0000072903_26_000006.htm
2026-07-10T17:32:52.774286 OK 31,724 bytes -> /workspace/XEL/investor-documents/sec-edgar/8-K_20260202_rpt20260130_acc0001193125_26_033694.htm
2026-07-10T17:32:53.001328 OK 39,236 bytes -> /workspace/XEL/investor-documents/sec-edgar/8-K_20260102_rpt20251229_acc0000072903_26_000002.htm
2026-07-10T17:32:53.187231 OK 33,183 bytes -> /workspace/XEL/investor-documents/sec-edgar/8-K_20251217_rpt20251217_acc0000072903_25_000273.htm
2026-07-10T17:32:53.477968 OK 27,974 bytes -> /workspace/XEL/investor-documents/sec-edgar/8-K_20251215_rpt20251215_acc0001193125_25_318611.htm
2026-07-10T17:32:53.860585 OK 40,178 bytes -> /workspace/XEL/investor-documents/sec-edgar/8-K_20251124_rpt20251121_acc0000072903_25_000264.htm
2026-07-10T17:32:54.147467 OK 41,353 bytes -> /workspace/XEL/investor-documents/sec-edgar/8-K_20251121_rpt20251120_acc0000072903_25_000261.htm
2026-07-10T17:32:54.330994 OK 47,919 bytes -> /workspace/XEL/investor-documents/sec-edgar/8-K_20251107_rpt20251106_acc0000072903_25_000259.htm
2026-07-10T17:32:54.514691 OK 66,940 bytes -> /workspace/XEL/investor-documents/sec-edgar/8-K_20251030_rpt20251030_acc0000072903_25_000254.htm
2026-07-10T17:32:54.707863 OK 26,910 bytes -> /workspace/XEL/investor-documents/sec-edgar/8-K_20251007_rpt20251007_acc0001193125_25_232889.htm
2026-07-10T17:32:55.111512 OK 36,466 bytes -> /workspace/XEL/investor-documents/sec-edgar/8-K_20250924_rpt20250923_acc0000072903_25_000242.htm
2026-07-10T17:32:55.297825 OK 63,121 bytes -> /workspace/XEL/investor-documents/sec-edgar/8-K_20250825_rpt20250822_acc0000072903_25_000233.htm
2026-07-10T17:32:55.486324 OK 47,919 bytes -> /workspace/XEL/investor-documents/sec-edgar/8-K_20250811_rpt20250808_acc0000072903_25_000227.htm
2026-07-10T17:32:55.738272 OK 46,110 bytes -> /workspace/XEL/investor-documents/sec-edgar/8-K_20250804_rpt20250801_acc0001193125_25_171827.htm
2026-07-10T17:32:55.924743 OK 64,992 bytes -> /workspace/XEL/investor-documents/sec-edgar/8-K_20250731_rpt20250731_acc0000072903_25_000221.htm
2026-07-10T17:32:55.924950 SEC filings downloaded: 55
2026-07-10T17:33:01.114824 IR PDF URLs found: 192
2026-07-10T17:33:01.470119 OK 692,529 bytes -> /workspace/XEL/investor-documents/ir-xel/12b5ed6b-c429-4f90-b1f7-a33595e1fe80.pdf
2026-07-10T17:33:01.890280 OK 588,369 bytes -> /workspace/XEL/investor-documents/ir-xel/17617020-71fd-4679-968e-76608c369dd5.pdf
2026-07-10T17:33:02.286758 OK 1,480,445 bytes -> /workspace/XEL/investor-documents/ir-xel/191d7302-0ae1-442f-8821-d8724885bcf1.pdf
2026-07-10T17:33:02.653845 OK 570,251 bytes -> /workspace/XEL/investor-documents/ir-xel/206b8ecf-96d1-40a6-a8d4-681dec91da13.pdf
2026-07-10T17:33:03.060058 OK 618,515 bytes -> /workspace/XEL/investor-documents/ir-xel/20e5fdd3-83ef-4c4b-bcf1-92c09bf85c53.pdf
2026-07-10T17:33:03.443448 OK 751,032 bytes -> /workspace/XEL/investor-documents/ir-xel/267fc7d2-c35b-4cec-a30c-3b8a7b76ed52.pdf
2026-07-10T17:33:03.866004 OK 741,333 bytes -> /workspace/XEL/investor-documents/ir-xel/32735ad8-987f-4f18-8b27-6fdb0541232f.pdf
2026-07-10T17:33:04.273855 OK 611,313 bytes -> /workspace/XEL/investor-documents/ir-xel/33f8da7b-9634-4f5b-84ed-fcafa52f3e67.pdf
2026-07-10T17:33:04.679766 OK 705,387 bytes -> /workspace/XEL/investor-documents/ir-xel/342765a7-5e51-4cb6-a885-6c873a61ab2c.pdf
2026-07-10T17:33:05.034202 OK 563,624 bytes -> /workspace/XEL/investor-documents/ir-xel/34620f98-6142-4a25-a0ea-fe1cfac6875a.pdf
2026-07-10T17:33:05.390905 OK 592,328 bytes -> /workspace/XEL/investor-documents/ir-xel/37506f3f-1487-45c9-a98e-489211319649.pdf
2026-07-10T17:33:05.787805 OK 782,887 bytes -> /workspace/XEL/investor-documents/ir-xel/3b25c208-e550-4f93-b8a4-060d5f18c755.pdf
2026-07-10T17:33:06.128127 OK 691,189 bytes -> /workspace/XEL/investor-documents/ir-xel/40924cfb-e3fa-42d0-ab38-3dcb082c8bf2.pdf
