as_of,ticker,steel_shipments_mtons,fy_guide_mid_mtons,asp_usd,source_path,note
2026-03-31,CLF,4.108,,,CLF Q2 2026 earnings release comparison table,Q1 2026 steel product sales volumes
2026-06-30,CLF,4.025,16.75,1124,https://www.clevelandcliffs.com/news/news-releases/detail/700/cleveland-cliffs-reports-second-quarter-2026-results,Q2 2026; FY guide 16.5-17.0 midpoint; ASP $/net ton
